Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4ebb00f5a91e3b585a32f7954769896209f99aa0e9eb301c747f451f051deb61,2014-10,Dorset Police,Dorset Police,-2.760544,50.733645,On or near Supermarket,E01020503,West Dorset 008B,Investigation complete; no suspect identified
779652b81e6ef98377dcd19e1dbb48d5acd0b1b450964290b3525fb0be183651,2014-10,Dorset Police,Dorset Police,-2.454616,50.607767,On or near ST EDMUND STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
5a35e071a0f57f6845140b4e690d00a5b94d8b43e0c786715ffa746d94b7982f,2014-10,Dorset Police,Dorset Police,-2.463281,50.632472,On or near Petrol Station,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
9076e222dd9be1297c810a700d52883556a107bb04a350728eeec682d50c6048,2014-10,Dorset Police,Dorset Police,-2.158809,50.855763,On or near MEADOW VIEW,E01020437,North Dorset 007C,Investigation complete; no suspect identified
e84cd2eeb443917853da49b0b71eacd481dd3bb0e67e83f13a83292498cd727d,2014-10,Dorset Police,Dorset Police,-2.431504,50.647288,On or near COOMBE VALLEY ROAD,E01020559,Weymouth and Portland 002C,Investigation complete; no suspect identified
adbe30a3fa6088ed8b463296c2ed2f2da61c3fc11cc3b1e746c5864caa24e3f4,2014-10,Dorset Police,Dorset Police,-1.978779,50.794604,On or near EDEN GROVE,E01020429,East Dorset 010D,Investigation complete; no suspect identified
eadec9693cc0de86b081c5c28d953e10ea8a1d69e1ea38dc320b1c780e6e2a8f,2014-10,Dorset Police,Dorset Police,-2.944568,50.729934,On or near ST GEORGES HILL,E01020532,West Dorset 005B,Investigation complete; no suspect identified
a6537fbc41fbc5cc9c313fdad6f4301e41981a65c02c546bd1eec67da42f39c4,2014-10,Dorset Police,Dorset Police,-2.108774,50.685699,On or near Supermarket,E01020485,Purbeck 003C,Investigation complete; no suspect identified
4810808e2218874fc57df743fae8b0d07a40c5fd18f5a51d322db9943e07ef66,2014-10,Dorset Police,Dorset Police,-2.760475,50.732863,On or near Parking Area,E01020503,West Dorset 008B,Investigation complete; no suspect identified
4b3f2a45f30eef9658ac9f66db3d2021a6378c29af327aa0190b0281a539927c,2014-10,Dorset Police,Dorset Police,-2.454726,50.614835,On or near KING STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b9cd70d8cc81431dc0caed3a9296d2b9a717da131af29fb3d109348150cd1f10,2014-10,Dorset Police,Dorset Police,-2.853365,50.741815,On or near SHIP KNAPP,E01020535,West Dorset 005D,Investigation complete; no suspect identified
0c655f6ff4c49dabbbb436d6da6532e71d9b1d3d912af2271a4f911cf59e6d74,2014-10,Dorset Police,Dorset Police,-2.442180,50.562562,On or near VERNE COMMON ROAD,E01020569,Weymouth and Portland 008D,Investigation complete; no suspect identified
aef7ce71b3cd3a7876de3f7f0f3c4a790c6d13488b6506fd0d057a10f932b348,2014-10,Dorset Police,Dorset Police,-2.436725,50.543670,On or near PARK ROAD,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
a34f8843b702c74b1f1bbb74ad35418564306e2e9cdf2c5c85ec1f598d8eaab4,2014-10,Dorset Police,Dorset Police,-2.442956,50.568566,On or near Parking Area,E01020569,Weymouth and Portland 008D,Investigation complete; no suspect identified
18284da82ebaec0bd5b193676d097717726c8bd7d16dd4a21de22d4e766e554e,2014-10,Dorset Police,Dorset Police,-2.455177,50.608781,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
371ffd90a0632a66b2fc82fd020baf9a82dfd095919f3907d1a033f60af4ed2e,2014-10,Dorset Police,Dorset Police,-2.274422,50.673862,On or near BLACKNOLL LANE,E01020490,Purbeck 004B,Investigation complete; no suspect identified
5bd0c392a9cd4b2ef59c290e856a272b507a2f863584dad0e9d3af9b3d8e270e,2014-10,Dorset Police,Dorset Police,-2.272945,51.037665,On or near SCHOOL ROAD,E01020443,North Dorset 001A,Investigation complete; no suspect identified
7a12f0cc7415d1806bfc01b40aca4c8007fbbd2b4f91213e6a7d6f0b0555b2e8,2014-10,Dorset Police,Dorset Police,-2.457938,50.708266,On or near Sports/Recreation Area,E01020528,West Dorset 009E,Investigation complete; no suspect identified
23ae8b2d0765c02e6ccc9deb90cd4d6a792ece639fc8461b81a88608aebbafe6,2014-10,Dorset Police,Dorset Police,-2.059663,50.636319,On or near Parking Area,E01020466,Purbeck 005A,Investigation complete; no suspect identified
