Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1b936be7a7c0db27dbb8c2b0034a455c530e21a552f96abb1281788c09591ca7,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
3c784f61f8c2cfc6cc5d60771b2ed065096cf980d44114ba814c7f2c4b01206e,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031306,51.717008,On or near HERONGATE ROAD,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
20a68f5dc09f1c29d34dfd3c4bad6841184d818e4866c3c5b2022a74359ab2de,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.067150,51.689862,On or near OLDPARK RIDE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
90efee68b6e9d699dfb82f9a6bf94555df5f562d9c0ae7fc6ecc32486ffb5909,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038818,51.707341,On or near HATTON ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
ade1f1b2775a39ed5a9d73e98367364c7cbfe9a95ab84a878727e31d7e14fd2e,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029282,51.687299,On or near CROSS ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
baf91b9e9e09580658a78f8a90ba2f14351bd09ebf074ebbc124db014edefd2d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036788,51.709420,On or near SYMONDS COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
617a70f70b69ed81501ac09888fc4601f117ed075710819337eebfb875885bf9,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
eb3aede50f4709fe8812c1aa61031ba358ec0514eeca5797e7f08624cba98d1d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013151,51.684321,On or near GORDON ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
93bac4d2f2992747be239603684892fa98976a992afb6b0875bcfb3238b0248d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.698759,On or near TEMPLE CLOSE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
e51f13f3231d91e5bc627cdca72b7daf12159f970c39573d1d354ad63992ec75,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049307,51.709467,On or near CHURCH LANE,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
60a9d4833e86d1223a95152dd8548b22993531f9ff73b92f837d1a42d5e27d91,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040651,51.686024,On or near BROADLANDS CLOSE,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
4bb1e4c2b869f6b891f9b498dd8475014ad564838fe299cf32677dc0fc030c05,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033844,51.689525,On or near A121,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
69c56fbe3de2d25e003d14708d818216b9274a36d02996921f291773e581936a,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050670,51.711756,On or near Petrol Station,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
4cd3fa8ac31eea3677728cdfd4a990fd8ad3c4b296b0be3ef349d29bb1ee10ce,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036173,51.701569,On or near ALBURY GROVE ROAD,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
ce9450c9f02d86c24f005961802aeacb8535875a0e91027ed9dd85b6f5a3e246,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029726,51.707063,On or near LONG MOOR,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
545d53e3ff43c8a3a57e984f79e5a9b307adcc72caa256c8ebaed453e696bb45,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025955,51.691614,On or near TRINITY LANE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
468fccbadd4850abf01581d189840572877ad27e02a8ce77af1a9d48f6ee20f3,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053524,51.707325,On or near Park/Open Space,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
dae13805c254d70fd75d1572e9dfaa65128e04d96ad897679a24dda36e6a0d77,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030774,51.700921,On or near Sports/Recreation Area,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
