Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5a323620714cfd095a292902890a4985c6a119d3f1515c99c790d16f0d469ffc,2014-08,Dorset Police,Dorset Police,-2.445889,50.624905,On or near Parking Area,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
bc0a7d220d3ea71d56f5eab12217779221e5d5bc175d572fae325429d84dfbbc,2014-08,Dorset Police,Dorset Police,-2.493673,50.611466,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
d0564b7a632bd072505f58499a81ff2e26fa99eeb08e7eb355d5722d41848b16,2014-08,Dorset Police,Dorset Police,-2.714868,50.745328,On or near HIGHACRES,E01020531,West Dorset 007C,Investigation complete; no suspect identified
cb0da5ab94a576a27dfca73670a20761dddfd1868899a3d00ee9191a9003e23f,2014-08,Dorset Police,Dorset Police,-2.439542,50.711377,On or near GREAT WESTERN ROAD,E01032645,West Dorset 009I,Investigation complete; no suspect identified
343db7ae691de618f6c0b1695dfdc0e302b712358b3b9af3196b34e6c35ef403,2014-08,Dorset Police,Dorset Police,-2.431506,50.639761,On or near FURZY CLOSE,E01020559,Weymouth and Portland 002C,Investigation complete; no suspect identified
5aa65a2bf6aaa15e401f4ba595972c5ae25af514734a2a7e9af4a6235193475a,2014-08,Dorset Police,Dorset Police,-1.883209,50.788325,On or near MAG'S BARROW,E01020401,East Dorset 011D,Investigation complete; no suspect identified
d6ba981ebada557624ed327007419a4abfc2649736b6322eb683083a77f2b1b7,2014-08,Dorset Police,Dorset Police,-1.838026,50.829277,On or near Motorway Service Area,E01020406,East Dorset 004D,Investigation complete; no suspect identified
231eef5c26a0d8c1029fb92116428cd359ed73d87b02c6b51da139b1610c9498,2014-08,Dorset Police,Dorset Police,-2.764294,50.710671,On or near Parking Area,E01020504,West Dorset 008C,Investigation complete; no suspect identified
f8ac50977a016c8a3bdb1ac49c3d2a5c54b806b45ee083a408c23a74163db1b2,2014-08,Dorset Police,Dorset Police,-2.164421,50.855971,On or near MARKET PLACE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
2e0df2c301846796ff9c1e6511ead98595266fed7d23698019938e31b8e0d9d5,2014-08,Dorset Police,Dorset Police,-2.463281,50.632472,On or near Petrol Station,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
bc0deb18e717b3dfed7deeb94dbe7eab314135e2c39ccad4e29dcc4bec6a30af,2014-08,Dorset Police,Dorset Police,-1.914520,50.810950,On or near HAVILAND ROAD,E01020408,East Dorset 009E,Investigation complete; no suspect identified
94d9e5f4c1ba35ff4a7b990f3cd1e2271d1bab25715ff33e4105342b436ba12a,2014-08,Dorset Police,Dorset Police,-2.185514,51.008585,On or near NETTLECOMBE,E01020454,North Dorset 003A,Investigation complete; no suspect identified
8126aa36e4896db07ae7d85af30b37dcfa4aaff0e1156fd6d070978b7cd059a6,2014-08,Dorset Police,Dorset Police,-2.275724,50.659497,On or near PIGEON CLOSE,E01020490,Purbeck 004B,Investigation complete; no suspect identified
7717c9568c16780243d99e741622b2132e5a66d087067a3c72bc045a63e2e847,2014-08,Dorset Police,Dorset Police,-2.473968,50.612537,On or near MELBOURNE STREET,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
98ed57645d4fd712947de0d803dd0bdd6a735b72aea2cdf9d30c9690b62dd64d,2014-08,Dorset Police,Dorset Police,-2.277846,50.896087,On or near HIGHER STREET,E01020441,North Dorset 008D,Investigation complete; no suspect identified
04948ade53b417695d3ea99fa8740d4fef96ee946680a56ded706745bcf488c4,2014-08,Dorset Police,Dorset Police,-2.473968,50.612537,On or near MELBOURNE STREET,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
08a32455f39d34767d33e2b3c138bf757530e1858b979d8c0442fa4bfbfe0bd2,2014-08,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
faf7ae83c0d8b40fe3eda85e02f223d170efec3f0cfced7a49e06c381a2a1a9f,2014-08,Dorset Police,Dorset Police,-2.475343,50.929001,On or near ROSELYN CRESCENT,E01020508,West Dorset 002B,Investigation complete; no suspect identified
7e4588ccbcf5b9e2b187035787e9dd56baad795b0abbf92e1b8155c20be90827,2014-08,Dorset Police,Dorset Police,-1.777373,50.735717,On or near Supermarket,E01020367,Christchurch 006D,Investigation complete; no suspect identified
