Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01c222accbffb05985b96ca86026a941a954919b276412f8448660a2b8e34bc4,2014-01,Kent Police,Kent Police,,,No location,,,Offender given a caution
9e285051c1cad1a5ad5da144188777659246569f84a768d438dd9dd40e67da00,2014-01,Kent Police,Kent Police,0.853187,51.129742,On or near Sports/Recreation Area,E01024019,Ashford 008B,Investigation complete; no suspect identified
4183577c13338b662aeacec0130d215d17189fd50ae337b04a02c8991188b68a,2014-01,Kent Police,Kent Police,1.399484,51.339396,On or near CLIFTON ROAD,E01024684,Thanet 013C,Investigation complete; no suspect identified
c5311420f08bd3d0944d1626fe53090ba8e7a4e22c8ae726bea45f4f579c5266,2014-01,Kent Police,Kent Police,1.320132,51.124909,On or near DOURO PLACE,E01033209,Dover 012E,Investigation complete; no suspect identified
ce5501c03f11280852939e970722e94f4a4925de2b601231a3bbf974747c3f84,2014-01,Kent Police,Kent Police,1.295722,51.122164,On or near LONGFIELD ROAD,E01024216,Dover 013C,Investigation complete; no suspect identified
975db46689c0cacd73308373a2922611294ffd5f6aa43e9ee0171493eeb6b8c0,2014-01,Kent Police,Kent Police,0.860195,51.130722,On or near STANHOPE ROAD,E01024001,Ashford 009A,Investigation complete; no suspect identified
151811072e70824ed6f5bc2e3e753764b75cbe94e147178ae280b4e4b2d74041,2014-01,Kent Police,Kent Police,0.855773,51.130875,On or near SANDLING CLOSE,E01024019,Ashford 008B,Investigation complete; no suspect identified
270216f80baf3fd678747c876313918294c7c360b18b8fc759147766c816eefc,2014-01,Kent Police,Kent Police,1.140646,51.087056,On or near TAYLOR ROAD,E01024491,Shepway 005A,Investigation complete; no suspect identified
5ad6994d75e3deac4f5aa5e4872bc54b92eaed5bea4a80e71fec63ed55a98d2e,2014-01,Kent Police,Kent Police,1.364590,51.376088,On or near Sports/Recreation Area,E01024672,Thanet 005A,Investigation complete; no suspect identified
e6efd3151ac06ff75bc9dcf3d8bd928ade864ef55aa938577da6f0885285944a,2014-01,Kent Police,Kent Police,0.962070,51.237072,On or near MOUNTAIN STREET,E01023988,Ashford 001C,Investigation complete; no suspect identified
7bd01c9619c95d3c87dbd5c39715d6e5b82b11b6065fad0ba37e560421f3a3a7,2014-01,Kent Police,Kent Police,0.858036,51.157560,On or near LANCASTER WAY,E01032820,Ashford 004I,Investigation complete; no suspect identified
584d52da5dfd74e3012447ab045ca8a0b89e8b77a2577cff5d02d6eae4a81375,2014-01,Kent Police,Kent Police,0.869800,51.148682,On or near Shopping Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
4d662cb38cfdb8fd2055483df96e19a38205ad1c6daa2ed0ac300c98df34a80e,2014-01,Kent Police,Kent Police,1.171354,51.078095,On or near BOUVERIE ROAD WEST,E01024508,Shepway 015A,Investigation complete; no suspect identified
73115291c651a270df12ab6eb09a960b8e9e5a0ca9872ba981eca6d78cc79fb0,2014-01,Kent Police,Kent Police,1.394869,51.230498,On or near NORTHWALL COURT,E01024227,Dover 003D,Investigation complete; no suspect identified
87eadc325d0ce92451adc3fd7568600737b4af5e8514c6e3d162298d7c83992c,2014-01,Kent Police,Kent Police,1.290380,51.133469,On or near ST RADIGUND'S ROAD,E01024240,Dover 011F,Investigation complete; no suspect identified
9f42f8a6d99c16b012c3a1f824750cf0df4a47e235a533d043ffed0c3ce29264,2014-01,Kent Police,Kent Police,0.938792,51.183657,On or near HIGH STREET,E01024041,Ashford 001E,Investigation complete; no suspect identified
