Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d8b4e341fdd12d9ef4b7e77d61dd481be81f1e079b08e31011a314479048fe7f,2014-01,Dorset Police,Dorset Police,-2.004116,50.760056,On or near CLARENDON ROAD,E01015398,Poole 003D,Investigation complete; no suspect identified
848b9194ef003f6fa7d6ec331751d5c6b7b75b0ab5fe8145550dea3a2e221e89,2014-01,Dorset Police,Dorset Police,-1.842548,50.725571,On or near Supermarket,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
5dfc49c388fd5c8fa0dfacda153f2a29cfa1091adede6b356d35ce7a3ab67e24,2014-01,Dorset Police,Dorset Police,-1.939883,50.722101,On or near WOODSIDE ROAD,E01015463,Poole 013E,Investigation complete; no suspect identified
49e2015387b11fac1ceb914cce04c84c6b9eae450fa81bf54bc88a09e9029504,2014-01,Dorset Police,Dorset Police,-1.971522,50.736114,On or near OAKDALE ROAD,E01015451,Poole 012E,Investigation complete; no suspect identified
69b88435ee8603d1f4f4939c00927e9ad0796f70a04f60fdef78a47388723c7d,2014-01,Dorset Police,Dorset Police,-1.882233,50.719161,On or near UPPER TERRACE ROAD,E01015367,Bournemouth 024A,Investigation complete; no suspect identified
325dd9f403a5534d29ae076507dfdb6cc1ebfa55f5d01d69686b1d8006451ea6,2014-01,Dorset Police,Dorset Police,-1.890928,50.720438,On or near POOLE ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
027ad88d3b8db95047da12535e7aecb82f21e5493afb4af89f9d905cd3d6f60d,2014-01,Dorset Police,Dorset Police,-1.856352,50.719420,On or near EAST OVERCLIFF DRIVE,E01015291,Bournemouth 021E,Investigation complete; no suspect identified
31ccc0296ee1eb252a5090a22dd9fea51f5e9724c58a55d72a977196b1a7e737,2014-01,Dorset Police,Dorset Police,-1.865392,50.763108,On or near Park/Open Space,E01015350,Bournemouth 006E,Investigation complete; no suspect identified
972f489eca4b28c5922f94cc0d50c8c56587b0146af4d0e02a48843daa41dfd9,2014-01,Dorset Police,Dorset Police,-1.937074,50.767665,On or near VISCOUNT WALK,E01015435,Poole 002B,Investigation complete; no suspect identified
9746e540cea3d8f6af84da8eb75d14b754dc1cab6e78db7065ed276072be949f,2014-01,Dorset Police,Dorset Police,-1.812226,50.730239,On or near PAISLEY ROAD,E01015363,Bournemouth 014E,Investigation complete; no suspect identified
78f089e3e7a797f912c9d66ae227e88fd807806d2a29974072e9478e4421043c,2014-01,Dorset Police,Dorset Police,-1.988627,50.731837,On or near WILLIS WAY,E01015450,Poole 012D,Investigation complete; no suspect identified
328cc1355bdbf155a4d0c3473f54b7b5b182651faf51ce6f5add98cc7fd4b865,2014-01,Dorset Police,Dorset Police,-1.931061,50.768003,On or near KING JOHN CLOSE,E01015436,Poole 002C,Investigation complete; no suspect identified
18daf938faef79935c5745d7e498973fa65cc0cd9f3669d1a74259d0ef9eb52f,2014-01,Dorset Police,Dorset Police,-1.875166,50.729226,On or near WIMBORNE ROAD,E01015286,Bournemouth 017C,Investigation complete; no suspect identified
5ef592f2fe61fbcc66990399997ace327abc7473980d60211d6b372a1dd6e19f,2014-01,Dorset Police,Dorset Police,-1.949486,50.750225,On or near YARROW CLOSE,E01015443,Poole 008E,Investigation complete; no suspect identified
