Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
430b8019a3610ee32776a9ae9b9aae599107102e0cd6d6d69d4869a4634ebd32,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031107,51.716267,On or near HILLVIEW GARDENS,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
c7f5a987b302b856e922cc752ddc60f22b549f58aa6d7c176724029c793f775a,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.062488,51.700783,On or near BARROW LANE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
c7f5a987b302b856e922cc752ddc60f22b549f58aa6d7c176724029c793f775a,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.062488,51.700783,On or near BARROW LANE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
c7a0869c838c14cf7889d1e92bf200b6fbc5bb775af9f2a1cd2e7c6ddba72326,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053394,51.712044,On or near WHEATCROFT,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
e95862c5e561f9f665f64605774c204b622c58f66dd6f25472f8b482f185d314,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.058779,51.719803,On or near BENCROFT,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
e2b032ae00ac30b6d5db9b0cc614d9a9856f7f2b7de263012a542f374e3aa181,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
ca40bc679e0d2d1b20bd523e3bc342efcb33c3f427bc5b2c3a08bd16dc255606,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.085721,51.708879,On or near DOVERFIELD,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
cadd6486fcb8fb117f7bc81b13a2371eced0bab8f796d91e232b971c0e6cfc78,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026287,51.718902,On or near B176,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
01ddfe87900df71bab384138196063420e85d5851419e509450df3ea8caaab25,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.062488,51.700783,On or near BARROW LANE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
2ac909d835ce2ea9e53d47d5c85bc2269510caef586a595a96384ec9348c3e7e,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027356,51.713309,On or near MONTGOMERY DRIVE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
