Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b3bf664392ccfb65588905fdaec3333825e027a6dfd1ddaaef309f422befee93,2015-08,Lincolnshire Police,Lincolnshire Police,-0.006829,52.970960,On or near MILL ROAD,E01026026,Boston 004C,Investigation complete; no suspect identified
54944269265ccecebe14f2b96bc0b67bb8225b39e69de222752e4e111aa463c3,2015-08,Lincolnshire Police,Lincolnshire Police,-0.011770,52.969721,On or near RECTORY ROAD,E01026027,Boston 004D,Investigation complete; no suspect identified
5d1f1eba30d7881a0cdc0b88d594be8bc4b22be3829c9b5f711cf7d1f00d293d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.524356,53.230056,On or near FLORENCE STREET,E01026124,Lincoln 004C,Investigation complete; no suspect identified
809e80b8391a9ab602d0bd3ef380c052fb003576b36b8920e6deb6c78640652d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.786483,53.412681,On or near HORSLEY ROAD,E01026381,West Lindsey 004C,Investigation complete; no suspect identified
9d83b5ec54034609731d2c75ad654adf1daeab997a055a97a693c35324c506cb,2015-08,Lincolnshire Police,Lincolnshire Police,-0.551200,53.231015,On or near HARVEY STREET,E01026146,Lincoln 005D,Investigation complete; no suspect identified
5532ca5da3c35d51242c6ff775519951cc66efc8665d216dbd10cadb8c84a5d7,2015-08,Lincolnshire Police,Lincolnshire Police,0.251314,53.347914,On or near HICKORY WAY,E01026074,East Lindsey 005C,Investigation complete; no suspect identified
c160f22e08e5840a49f6eceb001486d3325b05fa6eef9cb63cfcba9f8e6a27a7,2015-08,Lincolnshire Police,Lincolnshire Police,-0.561707,53.214781,On or near HUNT LEA AVENUE,E01026136,Lincoln 008C,Investigation complete; no suspect identified
9f7521b09856ae65c30f0ededa1872cc21fd782386143b8430aed862a71ea3d8,2015-08,Lincolnshire Police,Lincolnshire Police,0.262702,53.342214,On or near HIGH STREET,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
5351629b57fb8edd219c446260122b2eded372c161ff2ee68abc703ad910a43e,2015-08,Lincolnshire Police,Lincolnshire Police,-0.567904,53.200049,On or near NEWARK ROAD,E01026170,Lincoln 010B,Investigation complete; no suspect identified
44778aadea7b3a5bb81f10b8258745235be567e3ec17428312e1ec72e44b11cb,2015-08,Lincolnshire Police,Lincolnshire Police,0.322468,53.151385,On or near GRUNNILL CLOSE,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
470d2b7e15a2edab408893cf697073ce85a3d6a3c09baddb5cd3cfe22a5d2081,2015-08,Lincolnshire Police,Lincolnshire Police,-0.541680,53.227689,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
41644ba893ffd982a6f019ac72c2f963ad565644de2ab9545891a6ed6793d96d,2015-08,Lincolnshire Police,Lincolnshire Police,-0.038811,52.971115,On or near BRADFORD ROAD,E01026030,Boston 002C,Investigation complete; no suspect identified
d0cad3f2774d22ecc4be6ce1606c947a622c145989febdde5b9eab9d60cae7c6,2015-08,Lincolnshire Police,Lincolnshire Police,-0.637654,52.906722,On or near LONDON ROAD,E01026343,South Kesteven 006D,Investigation complete; no suspect identified
