Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
02f4e6c7e30a97d54f309783962ca85fa2374c413bf39ea41f36e09bf75a36df,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.399310,52.750652,On or near MILLFLEET,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
3a8c905b95ca5b4b65657811f8188c37a787d1c65d69a7c32fdd271dd28eee8e,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.484236,52.623168,On or near ST PETER'S ROAD,E01026513,Broadland 014F,Investigation complete; no suspect identified
4311f759116387ca8daf368a2749cb7e5a323bc4c6e4136f57d28d0ac117d8f2,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.287338,52.638748,On or near ST MARTINS CLOSE,E01026831,Norwich 002D,Investigation complete; no suspect identified
477d36ff6a20edb91be6c260d85940eee0a931c4aceace59f55e98fe8d647eed,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.437091,52.838079,On or near CLAY LANE,E01026752,North Norfolk 007D,Investigation complete; no suspect identified
38403d1efdf98b7613c2917f412fc57c069cd9b67f3de82cc83b99951f9d4288,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.745004,52.418954,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
31c20a8e8831382be65dea5feb272759748e8bd319425b617cea3d8206ad083b,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.745004,52.418954,On or near Parking Area,E01026466,Breckland 015B,Investigation complete; no suspect identified
1a4ca30a113e9851ef2d2a542c8e8522a56c8df3059fb413d85b7fc210f5753e,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.805819,52.570420,On or near PEDDARS COURT,E01026489,Breckland 009D,Investigation complete; no suspect identified
854e4773c220a782bfd2a80393ca09f1163c673b2994cb46a348e1fb352b702e,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.214842,52.443303,On or near NORWICH ROAD,E01026872,South Norfolk 013A,Investigation complete; no suspect identified
0e4e3bfdb9c02786f8664a611a14f2302c9fec8b34205b98a963c64717fa5692,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.934007,52.684425,On or near ST HILDA CLOSE,E01026428,Breckland 003A,Investigation complete; no suspect identified
009542a22250cf8180377d51caa5b4e1e0b1ec7f2a9b563e6abd6bbb7f15b248,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.274165,52.650013,On or near PETERSON ROAD,E01026834,Norwich 002G,Investigation complete; no suspect identified
468526db00fff2d135928ca0155836e12294f1d22a4693fd1cbb0b972515001d,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.419180,52.754636,On or near QUEEN MARY ROAD,E01026668,King's Lynn and West Norfolk 009C,Investigation complete; no suspect identified
01eabbd4707a35d497b7785111b55c6bc449c68fdb27fd4b9f9f6e5e41e117da,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.238919,52.641908,On or near RANDLE GREEN,E01026869,Norwich 006G,Investigation complete; no suspect identified
17fee4dfe37678d89fe81d7ef1bcd2af975f0c39fd970c63f7bae75c6cc9e696,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.335807,52.478696,On or near THE STREET,E01026894,South Norfolk 012C,Investigation complete; no suspect identified
