Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0bf757b4ed0f54ddf6c49debb3050befbe98af7262a2336e55b5df0efc3316a3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.700974,53.760792,On or near Nightclub,E01033223,Preston 017F,Suspect charged
e62e6ace28991f0fe37e4d5a17e4d329e870f9a4758a32245285659decd67cd9,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.693614,53.760592,On or near POLE STREET,E01033223,Preston 017F,Suspect charged
d6ca46bdba0728eb14202aac790c5cf6c25eda5bbdefbb49bcd5d2ff08e69df0,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699830,53.757662,On or near TEMPLE COURT,E01033223,Preston 017F,Suspect charged
66fd6f51718202e521dc7af2ed60dfc73af190bb9dc912b69aefcce27530e9cf,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.697914,53.761079,On or near OLD VICARAGE,E01033223,Preston 017F,Offender given a caution
3a4addd35dab2c33b1ae94c2125961560b77d73d577b20d5c9bd01932eb507d1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
187bce38cda4a25fb0e8423879c7cc277e20c46f23a81abe2cfe8e4792208d07,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696184,53.761008,On or near Parking Area,E01033223,Preston 017F,Suspect charged
37d4755714f0d6dfdf0189a8c3a9491ba92bd82f430cfb816c68d9ab766125f8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
1ca0cbf2b39e29b418b35c7444095e02730e2f40afd1d5f894cd087cdbca9d3d,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696002,53.761953,On or near Pedestrian Subway,E01033223,Preston 017F,Suspect charged as part of another case
08161fc16ff2d72ef66272dbb02ce7375e491ba60de42ad2f0f1d1aef0b9f3b9,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.700974,53.760792,On or near Nightclub,E01033223,Preston 017F,Suspect charged
477d5b31931e6788c171f6a11f8754b2ba8cd90adace0045c4b7267f6083f1b1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699333,53.758806,On or near CHEAPSIDE,E01033223,Preston 017F,Suspect charged as part of another case
b5b07fec3c8b84b76db42c323fc583022f23ab44b4f72ce53d3f5695333d25ad,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.704696,53.760240,On or near BACK SEED STREET,E01033223,Preston 017F,Suspect charged
47c57ecfcd6584fd18bd1bad1869bc508f75120401aae1902e750c523e71f253,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699830,53.757662,On or near TEMPLE COURT,E01033223,Preston 017F,Suspect charged
c1519e25833385be4ca0aa916337aef85dcf4bd507c3bcd769a0777de6ff3e44,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.699941,53.759773,On or near MARKET STREET,E01033223,Preston 017F,Suspect charged
935539a01471ff0cae15045570660b58aaf4d4b2de52380850a22b8f00e18cb8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696002,53.761953,On or near Pedestrian Subway,E01033223,Preston 017F,Suspect charged
935539a01471ff0cae15045570660b58aaf4d4b2de52380850a22b8f00e18cb8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.696002,53.761953,On or near Pedestrian Subway,E01033223,Preston 017F,Suspect charged
8f205c4531d79d8407762589a680ed2dab43dce05f99377d70c7b1026bbf5a65,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.701648,53.760275,On or near Shopping Area,E01033223,Preston 017F,Suspect charged
4477054b58d2b04af8192dc1bc91c71416163ea5b3de8ce9baaeec72bba030ae,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.698175,53.757599,On or near MAIN SPRIT WEIND,E01033223,Preston 017F,Suspect charged
62a32a42cb5c162f971ff1b7468a06f6f939aa42f4898f7de772035a9edd6694,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.700974,53.760792,On or near Nightclub,E01033223,Preston 017F,Suspect charged
