Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
35abb3b6dbf362f52eeff390989cee7605034d57d4be069cc83d53a17c1e9f60,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.292040,52.576975,On or near EGAR WAY,E01015598,Peterborough 015A,Investigation complete; no suspect identified
c4e878a403404d1f29b250f8078ae41c140b00f82a335f080053792a1dc6a703,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.162362,52.665872,On or near CANAL STREET,E01033112,Fenland 003I,Investigation complete; no suspect identified
b4ca46eeadf6ce402caaf527a11f0d62107c000496e605ab20a292e9533cd87b,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125312,52.209391,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8fa02b9cf13c00a615753ca56d52f7c9f49ee69b71f2c1ca47c8e53670cfe986,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.276823,52.589413,On or near DEACONSCROFT,E01015662,Peterborough 009C,Investigation complete; no suspect identified
3da2c24e24808422fb81fdb08883cc455ffc97f164cc68d27f41d1015ab37f10,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.233573,52.591518,On or near ASCOT DRIVE,E01015653,Peterborough 012D,Investigation complete; no suspect identified
d24884b9619ab2716c1521fef5bc1cca0a9afcac91a1d2dfd17ac8289c07c9f9,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.255037,52.564064,On or near OUNDLE ROAD,E01015622,Peterborough 016A,Investigation complete; no suspect identified
201b9c5354632c2a5c73ff35e7a30ba1a7527ccbb667420f11360c9b53c9c917,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134307,52.193988,On or near WARREN CLOSE,E01032795,Cambridge 012F,Investigation complete; no suspect identified
fe9f72a412c7dcf258946faa289d2435ad1132e41fc510c8a323e3077a09a707,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.162362,52.665872,On or near CANAL STREET,E01033112,Fenland 003I,Investigation complete; no suspect identified
6a3993071b37476c9d6852e2129a1705d87bbf018a811dd08530e747955db6fa,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245401,52.572984,On or near KING STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
c2acacd37525d6940f3c732725386bcddf51c5bca64abfa8c9fb9389bbf122f5,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157892,52.194260,On or near TAUNTON CLOSE,E01017967,Cambridge 010C,Investigation complete; no suspect identified
