Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c965e3b6a15090546213caefb0f6be08a31f39b7f41659b91f8d24d2c607893d,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.492857,52.308901,On or near SCOTTS PINE COURT,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
d9dbb76326d903d0590138eaff384ff0f5c406f039ce3ca83fa9e00f219851c0,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.456515,52.077217,On or near WEDDELL ROAD,E01030106,St Edmundsbury 014B,Investigation complete; no suspect identified
16078489053f4f621404413cdcf8db18418f7b80965b25123e1d504344518d74,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.127934,52.079073,On or near SHAKESPEARE ROAD,E01029976,Ipswich 002D,Investigation complete; no suspect identified
0fa20e0eef24c2936627add80b2bfe22dc56758294bf42ce752c0fbe7bce2f6d,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.748495,52.033895,On or near BUTT ROAD,E01029886,Babergh 008A,Investigation complete; no suspect identified
25c25a88663867ba6d65d1ec7a853363df0209a10d48544be17c151acbfd94e8,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.759354,52.024846,On or near ELDRED DRIVE,E01029891,Babergh 008F,Investigation complete; no suspect identified
3d0615dfeeee26175e3247f46fd27248ab434ab55c3b83662bc61eaa0ae89b42,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.197999,52.056802,On or near Further/Higher Educational Building,E01029965,Ipswich 009C,Investigation complete; no suspect identified
20765b1493d73e8ab74413e7cbcf3ccc87c3dd21f023c4f292d62e937a60dbfa,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.776463,52.059319,On or near THE HEATH,E01029921,Babergh 006B,Investigation complete; no suspect identified
bc7865e2f848b0b81254e8f577b160eb9d432f7bffd77e515198b912c44bc97a,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.402250,52.251700,On or near BILL RICKABY DRIVE,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
6f04bb35b7749d7280a014ce23d8b8ea13d490d88c04d309386e66eb20d4da74,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.705354,52.468469,On or near BROADLAND CLOSE,E01030235,Waveney 006B,Investigation complete; no suspect identified
9966d38e9596979ea3778f4ba0527a38bb0ae66612290958b766298a541034b8,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.382277,52.248652,On or near Race Track,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
e46bbcfa27a3e174f43807a7c638900fdc76ee1853487df782e167e81cf3d026,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.145289,52.059139,On or near CRESCENT ROAD,E01029988,Ipswich 010E,Investigation complete; no suspect identified
