Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dc0cebea3941899ad94fecfb97133b0959b13275eb231bd445c0ac62224e7445,2013-08,Northamptonshire Police,Northamptonshire Police,-0.703570,52.299548,On or near BROOK STREET WEST,E01027351,Wellingborough 006C,Investigation complete; no suspect identified
1a3ac91016be1285e99ad98ce78cb7eab86b8c555f665ceca51147ce1f40a786,2013-08,Northamptonshire Police,Northamptonshire Police,-0.730312,52.396147,On or near Bus/Coach Station,E01027110,Kettering 007B,Investigation complete; no suspect identified
720895cf8ad4d1e119befb9e94efae7b2f013f080c5768ca24cd81cab117e305,2013-08,Northamptonshire Police,Northamptonshire Police,-0.716406,52.399782,On or near ROSEBERY STREET,E01027112,Kettering 006D,Investigation complete; no suspect identified
5f0740770adcb96c5a0f91b2d5860cdb6e842a8ea672348a8dab4eb806973f3e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.681585,52.304079,On or near VIVIAN ROAD,E01027314,Wellingborough 004B,Investigation complete; no suspect identified
a475ab0d6ab43f98862fa43fc1d9808c4e0c140ba47b038b32359b70862df015,2013-08,Northamptonshire Police,Northamptonshire Police,-0.719788,52.296560,On or near CLARE ROAD,E01027340,Wellingborough 005B,Investigation complete; no suspect identified
3ec67a2a6011c6a4ee412015351553a511f88e5d8306bb234eb93d64487045d0,2013-08,Northamptonshire Police,Northamptonshire Police,-0.898163,52.240890,On or near SHEEP STREET,E01027153,Northampton 021C,Investigation complete; no suspect identified
33006800d2dc864632b79b405a9cb6a232a6e55c6c4b7dccab6d496663b5c6a1,2013-08,Northamptonshire Police,Northamptonshire Police,-1.028636,52.141699,On or near WINDMILL WAY,E01027289,South Northamptonshire 004C,Investigation complete; no suspect identified
1496b54e7141d3d97bdb31c2c2fcd73e7bf34d42f4d3bc4dab77755da0a0b401,2013-08,Northamptonshire Police,Northamptonshire Police,-0.890175,52.242892,On or near Parking Area,E01027227,Northampton 023C,Investigation complete; no suspect identified
c13202032155cf70165918438a214cd88fded42e29a64f4986aa46c4f7fe6301,2013-08,Northamptonshire Police,Northamptonshire Police,-0.827335,52.275991,On or near FARMHILL ROAD,E01027245,Northampton 004B,Investigation complete; no suspect identified
74e241912507f1da14d45217393b75eff3bbc82c5c55aa08fb500c4019323281,2013-08,Northamptonshire Police,Northamptonshire Police,-0.551339,52.337016,On or near FRANCIS STREET,E01027052,East Northamptonshire 005B,Investigation complete; no suspect identified
dae2e85191f34a3ee5e8563e4756dd70313fdaffbfa7474c92c46c2d2402be1d,2013-08,Northamptonshire Police,Northamptonshire Police,-0.894298,52.236116,On or near GUILDHALL ROAD,E01027223,Northampton 025A,Investigation complete; no suspect identified
5510c327a59b2b5b09947d2df9830551ee57c2f92b31dc014c57506e9c93a990,2013-08,Northamptonshire Police,Northamptonshire Police,-1.053123,52.226591,On or near HEYFORD LANE,E01027287,South Northamptonshire 001E,Investigation complete; no suspect identified
92645b35c3fb175dfbb551775ad6209d0cd454ee5a4bd9febe4830a0bac8bca6,2013-08,Northamptonshire Police,Northamptonshire Police,-0.642354,52.280960,On or near WANTAGE ROAD,E01027337,Wellingborough 010C,Investigation complete; no suspect identified
2a7524421d01add3f1882c3836784870d1f0d32cd459f4632470b0fc86b3d29a,2013-08,Northamptonshire Police,Northamptonshire Police,-0.876355,52.245576,On or near PAVILION COURT,E01027132,Northampton 022A,Investigation complete; no suspect identified
07dd5be4682733ace216c6f62f1156bbff818080e133bdcc7a4f1d8c08060287,2013-08,Northamptonshire Police,Northamptonshire Police,-0.895271,52.238238,On or near Shopping Area,E01032979,Northampton 021F,Investigation complete; no suspect identified
19b33dcbea0517a747deeb4a5f9b51a660ea9b812ee40e4cc013f3253e77e895,2013-08,Northamptonshire Police,Northamptonshire Police,-0.804349,52.418676,On or near THE CRESCENT,E01027124,Kettering 003B,Investigation complete; no suspect identified
6e8bb6555eab8d18d47179fce3cb8bc09a408be58aaa9f89412a99ff7607ba16,2013-08,Northamptonshire Police,Northamptonshire Police,-0.683415,52.499755,On or near THE OCTAGON,E01026958,Corby 003B,Investigation complete; no suspect identified
bb8f88702c04eaba56fc22910ee0fd0d3da7a93410c897cefa51255a559aa4cd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.589304,52.291082,On or near SYCAMORE CLOSE,E01027058,East Northamptonshire 009A,Investigation complete; no suspect identified
da6d11c168984de87d99f51a99e66eefece2f26e4cfecddd0823369a91fec327,2013-08,Northamptonshire Police,Northamptonshire Police,-0.639413,52.282238,On or near BISCAY CLOSE,E01027337,Wellingborough 010C,Investigation complete; no suspect identified
89158f71a40a367fdab6a33cf8cc1d73c8130b81ba9bdef1f4bc596d6b87def7,2013-08,Northamptonshire Police,Northamptonshire Police,-0.909121,52.231821,On or near ST JAMES MILL ROAD,E01032979,Northampton 021F,Investigation complete; no suspect identified
339858d64cb77dd597ab42b2d3a26bc5124408844d8ec682b646f0ab75a984f7,2013-08,Northamptonshire Police,Northamptonshire Police,-0.612229,52.455822,On or near PARK WALK,E01027045,East Northamptonshire 003B,Investigation complete; no suspect identified
9ae151cf794e22cb8100ae06fbe80d4e3a87cfe842778c88ce97ff3cb4c68ec1,2013-08,Northamptonshire Police,Northamptonshire Police,-0.717370,52.299564,On or near BYRON ROAD,E01027312,Wellingborough 007D,Investigation complete; no suspect identified
a9533b625438bd918af753ed2068886ccdfb74b4f4a0672c442523be78e32abd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.950473,52.427732,On or near CHURCH LANE,E01027005,Daventry 001A,Investigation complete; no suspect identified
335d322a5622d9c93f58f93c6d198d2af66e8ff0bf8732d9c323ec034cb8079d,2013-08,Northamptonshire Police,Northamptonshire Police,-0.925908,52.407301,On or near Park/Open Space,E01027005,Daventry 001A,Investigation complete; no suspect identified
58fc99f9378ae0269b203ff466cc5bb3eedec68e10220376fd393b8f3adf9752,2013-08,Northamptonshire Police,Northamptonshire Police,-0.892292,52.240817,On or near UPPER MOUNTS,E01027227,Northampton 023C,Investigation complete; no suspect identified
f124536bd6ea8282ac75dd9bc0d6a1fcb55fbd904335282b120d9d236e292daf,2013-08,Northamptonshire Police,Northamptonshire Police,-0.684441,52.290849,On or near Supermarket,E01027320,Wellingborough 008D,Investigation complete; no suspect identified
7e298c1d4bb7533c25b2301b9d2a6e3002be688b98c373ea9d1f3cc33f829a41,2013-08,Northamptonshire Police,Northamptonshire Police,-0.925908,52.407301,On or near Park/Open Space,E01027005,Daventry 001A,Investigation complete; no suspect identified
d61e3ef210f382e5d21412ac12e45b4768d2d53521dee420fac31ec2dd2ac349,2013-08,Northamptonshire Police,Northamptonshire Police,-0.913348,52.244007,On or near LYTTLETON ROAD,E01027241,Northampton 017B,Investigation complete; no suspect identified
5840fa803a2ae8f04ca93ff8edeab0d2279dbd042cd520731350a6bf13c5e86c,2013-08,Northamptonshire Police,Northamptonshire Police,-0.618841,52.322441,On or near WHITES RISE,E01027041,East Northamptonshire 006D,Investigation complete; no suspect identified
255a7e28c53a3be8091681cf36ae5a3bdda89707ce504a7e7712edea10cbdd9e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.717169,52.473792,On or near DUNEDIN ROAD,E01026968,Corby 006G,Investigation complete; no suspect identified
342f5ffdf97076cecea9912cb157c699be69a6123d8225909dcba00fe921bcd3,2013-08,Northamptonshire Police,Northamptonshire Police,-0.925908,52.407301,On or near Park/Open Space,E01027005,Daventry 001A,Investigation complete; no suspect identified
e0be0fc4f2234ad3bdd238e7a0e532f207376ae5ca66763f7153d2d80e16ad6a,2013-08,Northamptonshire Police,Northamptonshire Police,-0.885185,52.253832,On or near KINGSLEY ROAD,E01027185,Northampton 015B,Investigation complete; no suspect identified
60ceb4d3601204e5c10cc2cbd8fe6213a80f40e26b3b9e61752dca8a6e7fb38a,2013-08,Northamptonshire Police,Northamptonshire Police,-1.171388,52.281747,On or near KNOWLE WAY,E01026990,Daventry 006C,Investigation complete; no suspect identified
47ee0d67344ee5ee0d02f37169b3f5ece069cb6dc6e85cd89bf2f7bb465af1da,2013-08,Northamptonshire Police,Northamptonshire Police,-0.892228,52.237517,On or near ST GILES' STREET,E01027223,Northampton 025A,Investigation complete; no suspect identified
7c58f912b01f8e2fdcba97e6a0c2fbd6ff5658d8d3b88b8e3c585f1249f78a07,2013-08,Northamptonshire Police,Northamptonshire Police,-0.891105,52.244376,On or near MILITARY COURT,E01027155,Northampton 023A,Investigation complete; no suspect identified
f9d630d9b843142e46072645db4198623af25ba7c9bc375d3089756e38933923,2013-08,Northamptonshire Police,Northamptonshire Police,-0.814941,52.370216,On or near MAWSLEY LODGE,E01032973,Kettering 011H,Investigation complete; no suspect identified
