Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dfe0bf849cd05b49e5b4ab75722c019381bd7fc5144b283875b1dc38e64477f1,2013-08,Lincolnshire Police,Lincolnshire Police,-0.339591,52.899297,On or near BILLINGBOROUGH ROAD,E01026361,South Kesteven 008D,Investigation complete; no suspect identified
4d111cf307ab391cf8c4aee6313f4eca14ce0d4e1b628f3ccd6163732c9fa1a8,2013-08,Lincolnshire Police,Lincolnshire Police,-0.160239,52.868838,On or near DAIRY CLOSE,E01026247,South Holland 001D,Investigation complete; no suspect identified
7f118e05fd649df754989192c60366d5c991d7472c62bc13de60355ca14cf4e9,2013-08,Lincolnshire Police,Lincolnshire Police,-0.516299,53.219986,On or near WASHINGBOROUGH ROAD,E01026176,Lincoln 006B,Investigation complete; no suspect identified
8e3893916b8e3b2e3231d3da80cbd82676460e902f15e69d90ab7e2c24f037de,2013-08,Lincolnshire Police,Lincolnshire Police,-0.124729,53.212868,On or near UPLAND CLOSE,E01026066,East Lindsey 011C,Investigation complete; no suspect identified
a325e2ecddc31bf3ab04fc2ca0f5e74b51298d0fb632bb145f8ce0284cda339a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.167039,53.005914,On or near Sports/Recreation Area,E01026033,Boston 006B,Investigation complete; no suspect identified
7aba0e696d844e70182cf46fc8c908316532319fc19f67f3c4349a44d500a601,2013-08,Lincolnshire Police,Lincolnshire Police,-0.551406,53.201405,On or near LAUREL CLOSE,E01026175,Lincoln 010E,Investigation complete; no suspect identified
d0624fbcc0a0ffcdd127bd351d5066a41fa4a42b65fb23d8419f695a8f1bf28b,2013-08,Lincolnshire Police,Lincolnshire Police,-0.590325,53.188370,On or near Supermarket,E01026218,North Kesteven 014C,Investigation complete; no suspect identified
7808b5b1a79c4f21df526c113cfbe9525a54e3451370a67fcc9e08649e3a6cd8,2013-08,Lincolnshire Police,Lincolnshire Police,-0.173719,53.164210,On or near GRANGE PARK,E01026082,East Lindsey 007B,Investigation complete; no suspect identified
9eee95fc2d4158c35679004d1164d683459600779e2ec632316be7ff8c0823d7,2013-08,Lincolnshire Police,Lincolnshire Police,-0.759016,53.390753,On or near ADELAIDE CLOSE,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
ba20e48c18f383460250ed6fa407ecdeed9abd88eee69bba054e976567db4e51,2013-08,Lincolnshire Police,Lincolnshire Police,-0.612587,53.231268,On or near DENE ROAD,E01026226,North Kesteven 003F,Investigation complete; no suspect identified
d54514397ef68119f9f7fc3283a3a9b8ea9d853e56e55c8cc7a41253b57cb415,2013-08,Lincolnshire Police,Lincolnshire Police,-0.543884,53.225433,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
f52a2605d12eaf19cb01cca4195746ad67a3ef912b9834cea49991869923b115,2013-08,Lincolnshire Police,Lincolnshire Police,-0.557084,53.233819,On or near Supermarket,E01026144,Lincoln 003B,Investigation complete; no suspect identified
331e903affcf089585f685bb45fa998111a991145b0c6856d7d2aec5c3840140,2013-08,Lincolnshire Police,Lincolnshire Police,-0.662736,52.918406,On or near GRIMSTHORPE CLOSE,E01026320,South Kesteven 004A,Investigation complete; no suspect identified
d248bda7314b2665c3781148565889999c0249738a141bbe063d63e0dfa9b3d2,2013-08,Lincolnshire Police,Lincolnshire Police,-0.662736,52.918406,On or near GRIMSTHORPE CLOSE,E01026320,South Kesteven 004A,Investigation complete; no suspect identified
2846627d09b5e536dced9b2c1f19bb945ae409fc8f0a903c518a04c6b91fb6ba,2013-08,Lincolnshire Police,Lincolnshire Police,-0.525990,53.230013,On or near EASTBOURNE STREET,E01026126,Lincoln 004D,Investigation complete; no suspect identified
48fd3ef9a0ba8b04520c4c25c0b568d00ba443015eb0294acde57b8b7244c60b,2013-08,Lincolnshire Police,Lincolnshire Police,0.348276,53.184676,On or near Petrol Station,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
fbbac42255440f5feee23032ece06721f2eaf92eaaa9596e27696937bce15fe3,2013-08,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
2220d44a4c422cf0bc8ebd540cee14ec276d2d3411e2642b175a5d1a196473c0,2013-08,Lincolnshire Police,Lincolnshire Police,-0.551909,53.250414,On or near BUCHANAN STREET,E01026149,Lincoln 001A,Investigation complete; no suspect identified
d5ec4ac3203a47066baab0c0e32c86ce6fab68709dce6b8238577fe04d378f7c,2013-08,Lincolnshire Police,Lincolnshire Police,-0.173647,52.757525,On or near FANTAIL CLOSE,E01026265,South Holland 009D,Investigation complete; no suspect identified
f2e164fe2f26c6415f57a93c8f682e848d5b055a39c8046008f32494e7cc125a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.026669,52.976110,On or near Supermarket,E01026006,Boston 003A,Investigation complete; no suspect identified
06c5c814810da5502215f57195087ee9993018fce746f4f0db0dc908689b32de,2013-08,Lincolnshire Police,Lincolnshire Police,-0.773781,53.391355,On or near WATERWORKS STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
438abd143087d0dcbd3e3d3b96b51bb4166d2568b7a4fa9645d79e755d396602,2013-08,Lincolnshire Police,Lincolnshire Police,-0.305162,53.498047,On or near GRIMSBY ROAD,E01026367,West Lindsey 001A,Investigation complete; no suspect identified
86c5556a83eb226968a68ee55dd8fdc21d8e3021c64be3c8dea7597f5c93cc46,2013-08,Lincolnshire Police,Lincolnshire Police,0.339373,53.144032,On or near ALGITHA ROAD,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
4b6b12421cebb82a978af6e8e3abcb413c4d85dccb5d3b7bd63fe0b4b85c2fde,2013-08,Lincolnshire Police,Lincolnshire Police,-0.371228,52.764808,On or near ESSEX WAY,E01032999,South Kesteven 011G,Investigation complete; no suspect identified
aebcd2ddd33e5da395b88d21d11171574807ead46f6bc33e539eb63093246061,2013-08,Lincolnshire Police,Lincolnshire Police,-0.388560,52.693965,On or near MAIN STREET,E01026330,South Kesteven 012A,Investigation complete; no suspect identified
04902f66978af84151aaa3f161cfee35bbb78955121638f668760fc3edf08b45,2013-08,Lincolnshire Police,Lincolnshire Police,-0.066931,52.987759,On or near MIDDLE DROVE,E01026033,Boston 006B,Investigation complete; no suspect identified
a3d7ee0306be9ee4eca451e2ed227e9d4f32c30e6194c8a28f0cc345baba85cb,2013-08,Lincolnshire Police,Lincolnshire Police,-0.024838,52.978058,On or near CHURCH LANE,E01026036,Boston 003D,Investigation complete; no suspect identified
e5c0b8005daa4af436b585155b4a1709e557273791c198e377c075d142ba1743,2013-08,Lincolnshire Police,Lincolnshire Police,-0.408296,52.997763,On or near Shopping Area,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
