Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8c4650b7b793284f1c680fafe3a79e1e1f9d2b6141752cd152dc98f5708c8b85,2012-11,Thames Valley Police,Thames Valley Police,-0.611133,51.481234,On or near Shopping Area,E01016545,Windsor and Maidenhead 012A,Investigation complete; no suspect identified
acc4201c06f4bda8ec659d6af04e26d064ba18c08d968e1590f11e1e568deafb,2012-11,Thames Valley Police,Thames Valley Police,-0.640789,51.497093,On or near CORNWALL CLOSE,E01016568,Windsor and Maidenhead 010C,Investigation complete; no suspect identified
0ae076792557ebf5f5dcd21d848b988e866309e0b4717c289c2a6eb415b97115,2012-11,Thames Valley Police,Thames Valley Police,-0.579918,51.484268,On or near HALL COURT,E01016564,Windsor and Maidenhead 011A,Investigation complete; no suspect identified
d11f0525b132c65d9f8690d6ff3612bdbcd3f43004108ca4e8aba456449fded4,2012-11,Thames Valley Police,Thames Valley Police,-1.131526,51.903766,On or near TELFORD ROAD,E01028455,Cherwell 013A,Investigation complete; no suspect identified
42c04e77b47c3610496953cbcf531a2a2f5d442ce8c9ecb5ab4a21027a8a2963,2012-11,Thames Valley Police,Thames Valley Police,-1.165489,51.904057,On or near MARKET END COURT,E01028471,Cherwell 014D,Investigation complete; no suspect identified
b0586310c47267a9b36b1a32c0b78fdaf9277fd6b92eaf8bccc07a4c9316b643,2012-11,Thames Valley Police,Thames Valley Police,-1.198785,51.830759,On or near COLLEGE FRONT STREET,E01028502,Cherwell 016F,Investigation complete; no suspect identified
a31d9134b32b4feaf5ecf5e2d824dbd81b7b05eaa0c0f551853fb21cdbc07635,2012-11,Thames Valley Police,Thames Valley Police,-1.144741,51.903638,On or near Sports/Recreation Area,E01028456,Cherwell 013B,Investigation complete; no suspect identified
5665e8cb71afda165461fbc7be09e0abd9eb9adac2aa805bc5b1139d0cff35e3,2012-11,Thames Valley Police,Thames Valley Police,-1.120761,51.898993,On or near SHERWOOD CLOSE,E01028499,Cherwell 011F,Investigation complete; no suspect identified
656607a7cac75a425f8f5891e1b6ee183ca9563a6b88111370b731dfa818b5e2,2012-11,Thames Valley Police,Thames Valley Police,-1.175373,51.901708,On or near MEDINA GARDENS,E01028472,Cherwell 014E,Investigation complete; no suspect identified
883e25bdffd6135d5b3047e232f90268afc3c324f83923bd1a4ebc2099315de3,2012-11,Thames Valley Police,Thames Valley Police,-1.175373,51.901708,On or near MEDINA GARDENS,E01028472,Cherwell 014E,Investigation complete; no suspect identified
f20685b427d6a82c0e86486abf07af8a545acaa83d99cbefa282803160095649,2012-11,Thames Valley Police,Thames Valley Police,-1.545624,51.942146,On or near MARKET STREET,E01028783,West Oxfordshire 001D,Investigation complete; no suspect identified
97fc97fa9e42cf62461673c0f80d1e3a348699b0d8b7a649441ec1b7bd06517d,2012-11,Thames Valley Police,Thames Valley Police,-1.530477,51.980073,On or near COTSWOLD CORNER,E01028795,West Oxfordshire 002A,Investigation complete; no suspect identified
7fe9ecdc598e37ba9e492d2720741a45b680bcd70dfa55aff90e432eccb13c3d,2012-11,Thames Valley Police,Thames Valley Police,-1.311539,51.814731,On or near POPPY CLOSE,E01028510,Cherwell 019B,Investigation complete; no suspect identified
527ef02adb06fbdc95d7b08bc1fab0bc230e08a0081cee8e27727702c76b10a3,2012-11,Thames Valley Police,Thames Valley Police,-1.286849,51.815636,On or near ROWAN CLOSE,E01028495,Cherwell 018C,Investigation complete; no suspect identified
40c401d05e4049537c0a107fdb6d8dba441792753a57a04bbee717c2ea774e60,2012-11,Thames Valley Police,Thames Valley Police,-1.277571,51.808872,On or near Petrol Station,E01028511,Cherwell 019C,Investigation complete; no suspect identified
133aff6929dd02d437bdb4b9c39c641a2554d1cb63a52d204d947f981dcbfee5,2012-11,Thames Valley Police,Thames Valley Police,-1.332552,52.062292,On or near Shopping Area,E01028435,Cherwell 004A,Investigation complete; no suspect identified
7edad9e8cd11fff59fd896584710f46a963bb636388f0998a130c4c3ed8b64b6,2012-11,Thames Valley Police,Thames Valley Police,-1.352269,52.074692,On or near FORGEWAY,E01028441,Cherwell 002A,Investigation complete; no suspect identified
7197c71bd8a06f12a7930bbe33d3e46b591d72c074d5158dcf64f9b5ad80430b,2012-11,Thames Valley Police,Thames Valley Police,-1.323544,52.062825,On or near CAUSEWAY,E01032941,Cherwell 004G,Investigation complete; no suspect identified
8f142cf77838201a83847a4e996d736a24cdaf9c43b3802bcdadcc7fd9c15838,2012-11,Thames Valley Police,Thames Valley Police,-1.338921,52.060691,On or near Nightclub,E01028435,Cherwell 004A,Investigation complete; no suspect identified
c33f5880c9e532d03f13a5686f73ee43c083e1399cbcf5e4ae002275ef3b2d34,2012-11,Thames Valley Police,Thames Valley Police,-0.714002,51.506254,On or near OLD FORGE CLOSE,E01016592,Windsor and Maidenhead 004E,Investigation complete; no suspect identified
69fe6738007d65e26797a8be31ab31403408754df5829d772be9a2c2eb1894ba,2012-11,Thames Valley Police,Thames Valley Police,-0.733534,51.521564,On or near LANCASTRIA MEWS,E01016536,Windsor and Maidenhead 005D,Investigation complete; no suspect identified
297e31e6db11e1ab12048c8a6681a59eddf203bfbc4302597ae820f4875207a9,2012-11,Thames Valley Police,Thames Valley Police,-0.735310,51.523516,On or near RAYMOND ROAD,E01016525,Windsor and Maidenhead 005A,Investigation complete; no suspect identified
669985e1f67996bf9e4a887f203a2000cb2ce2cfa7f01b2768dbf89974070ade,2012-11,Thames Valley Police,Thames Valley Police,-1.338044,52.061810,On or near LONDON YARD,E01028435,Cherwell 004A,Investigation complete; no suspect identified
99275616197bb3d92c961571adef16a54a550e79882e6f638b1392c3baf5e774,2012-11,Thames Valley Police,Thames Valley Police,-1.315938,52.068966,On or near Petrol Station,E01028437,Cherwell 004C,Investigation complete; no suspect identified
6d4c6604474c42da647e0920989d05c5d951acf72b61e928eeabb475d1ad65de,2012-11,Thames Valley Police,Thames Valley Police,-1.445267,52.092509,On or near STRATFORD ROAD,E01028508,Cherwell 001C,Investigation complete; no suspect identified
d74491d6753a8c16b38e2719a234be6554708dde1e0a00e73d5f849c3fc7a6d2,2012-11,Thames Valley Police,Thames Valley Police,-1.364100,52.063518,On or near BRETCH HILL,E01028454,Cherwell 005F,Investigation complete; no suspect identified
ecade5aaf8fce80c5e74d53459a856b4e1b8f83e260be508220e4c75027a60cf,2012-11,Thames Valley Police,Thames Valley Police,-1.325658,52.072592,On or near JUGGLERS CLOSE,E01028438,Cherwell 004D,Investigation complete; no suspect identified
4f61ee45e90d27004ee630b40bcbbc84300493daf51f8eda70a762b7b45174ae,2012-11,Thames Valley Police,Thames Valley Police,-1.348139,52.052651,On or near BRENDA CLOSE,E01028431,Cherwell 006B,Investigation complete; no suspect identified
48609f34a6691365024bc714a4e667f1227c8eb521cde238252ccddd2646ba0a,2012-11,Thames Valley Police,Thames Valley Police,-1.337094,52.060924,On or near HIGH STREET,E01028435,Cherwell 004A,Investigation complete; no suspect identified
3ed679623be2fcece4d11a1ea3356114312ee46be82b2e0c3d6af5d46e8fa38e,2012-11,Thames Valley Police,Thames Valley Police,-0.842794,51.719035,On or near MILTON GARDENS,E01017930,Wycombe 001B,Investigation complete; no suspect identified
3d6bf00391ed3d0db7793950f8127dd861209a6fb85b5c0b4d47b570d55c5058,2012-11,Thames Valley Police,Thames Valley Police,-0.836597,51.717949,On or near PRINCES PLACE,E01017931,Wycombe 001C,Investigation complete; no suspect identified
b44f2ad37fcc239f6f3df94d437a74ea7e56f2d5cc507ef80e8fcdf52ef5360a,2012-11,Thames Valley Police,Thames Valley Police,-0.780322,51.626131,On or near RUTLAND AVENUE,E01017906,Wycombe 013D,Investigation complete; no suspect identified
ca1c68386d4add2a384f85248aea3ac6406bd22663b52bbdf1f403e5d18b8798,2012-11,Thames Valley Police,Thames Valley Police,-0.736108,51.628450,On or near TOTTERIDGE AVENUE,E01017919,Wycombe 010D,Investigation complete; no suspect identified
7a44c7cf6d2bb5041b03e3f9a009e7d10a8728ab2f4a2efc10d6247512fb1327,2012-11,Thames Valley Police,Thames Valley Police,-0.765769,51.624729,On or near DESBOROUGH AVENUE,E01017839,Wycombe 015D,Investigation complete; no suspect identified
