Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c439fe48c1814596f6564ebc85eea77a0c4b84cbc1036670b79adb4fba6feba1,2013-07,Dorset Police,Dorset Police,,,No location,,,Suspect charged
e031abe17a635d8bb3eccda0998b2a5fb250cd98ae64ca23423d6f5111520512,2013-07,Dorset Police,Dorset Police,-2.236474,50.914010,On or near THE CROSS,E01020446,North Dorset 005C,Investigation complete; no suspect identified
417d77c1394bfd10ab9bcc690921a4134bc3be8b8a029f03a07ef5e0f624fc5b,2013-07,Dorset Police,Dorset Police,-1.838815,50.835303,On or near WOOLSBRIDGE ROAD,E01020406,East Dorset 004D,Investigation complete; no suspect identified
92e4e8d50878919578842750a829f245120260c010a69a7fd976f687e0f0ecb8,2013-07,Dorset Police,Dorset Police,-2.160645,50.865122,On or near MARSTON CLOSE,E01020435,North Dorset 007A,Investigation complete; no suspect identified
73d7d9bf74a4d9823717dbe6e0c108f714f7988f8c8a9a66f480eb0b9cc6f6b0,2013-07,Dorset Police,Dorset Police,-1.965600,50.792568,On or near BROOK ROAD,E01020427,East Dorset 010B,Investigation complete; no suspect identified
c5d70c2bb205fce9686f683625fda42e4bcaef640c2e4c13cde62ef8d2a5cc94,2013-07,Dorset Police,Dorset Police,-2.774494,50.751206,On or near BILSHAY LANE,E01020536,West Dorset 007D,Investigation complete; no suspect identified
c02abf158c872212d766a771db29fb89bfc9648c9cfa0f0bfb4d1fe2c3526ce6,2013-07,Dorset Police,Dorset Police,-1.956211,50.605544,On or near TAUNTON ROAD,E01020481,Purbeck 006D,Investigation complete; no suspect identified
8469fa10c0a5c3b3d19ad16b826a4d278b5f7d0f6d0972068292b6298704ec88,2013-07,Dorset Police,Dorset Police,-2.094348,50.677915,On or near BARNHILL ROAD,E01020467,Purbeck 005B,Investigation complete; no suspect identified
97527f06dd9e12e27c20f30aaeb9c388093feaa40dbdc72c912782e15bce2808,2013-07,Dorset Police,Dorset Police,-2.764294,50.710671,On or near Parking Area,E01020504,West Dorset 008C,Investigation complete; no suspect identified
7ee53adce56abdd54f578d7749491206f48edca171dc2dcfa1a308b39f66d4a4,2013-07,Dorset Police,Dorset Police,-2.299320,51.040523,On or near CHERRY ORCHARD LANE,E01020463,North Dorset 001C,Investigation complete; no suspect identified
37c61b7df521e77c38925a9f5a47f38778a7ac68576d9667bb7547d306e79080,2013-07,Dorset Police,Dorset Police,-1.876606,50.876930,On or near CHILTERN DRIVE,E01020416,East Dorset 002A,Investigation complete; no suspect identified
36419468d70c93a3b44cd8807ae7647aae0e6c19c9542bcf8dda943f907b08a5,2013-07,Dorset Police,Dorset Police,-2.022024,50.702123,On or near Park/Open Space,E01020467,Purbeck 005B,Investigation complete; no suspect identified
