Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7e41b4a79cfe16ffa9e7377bbdf46d65dff125f31a1c6952e49f66b2a1c47196,2013-07,Essex Police,Essex Police,0.930487,51.886221,On or near Pedestrian Subway,E01033722,Colchester 008H,Investigation complete; no suspect identified
32e5f3d7cbd94b9baff2160efef8ddfd29515060d8d05bf47ffe20e97086f04f,2013-07,Essex Police,Essex Police,0.468551,51.601933,On or near CRAYS HILL,E01021260,Basildon 009D,Investigation complete; no suspect identified
290122b061418c9e27941501d5daa8b25f55300d410db1d3691f254e744a0d59,2013-07,Essex Police,Essex Police,0.113929,51.775651,On or near THE STOW,E01021845,Harlow 002B,Investigation complete; no suspect identified
0d5e9a7801452fb175577afbabe92c8480eb880269bb792b5dc3b89d847f6f29,2013-07,Essex Police,Essex Police,0.591181,51.519337,On or near Sports/Recreation Area,E01021498,Castle Point 011B,Investigation complete; no suspect identified
64959cda6d3a3097058aa19aeb57e1f46b1fab5a4efa3cac3c4ec20a9ee2f0c0,2013-07,Essex Police,Essex Police,1.141689,51.911932,On or near ABBOTS CLOSE,E01021978,Tendring 003A,Investigation complete; no suspect identified
8d74bd5eee7cb14aface6dd11054350bbc39b8916d46988eea01eebae9f28034,2013-07,Essex Police,Essex Police,0.417938,51.578903,On or near POWELL ROAD,E01021273,Basildon 014A,Investigation complete; no suspect identified
ce89f3c44a8b4452216ac41b88f1a893e71d671a43316b089a1240b7f3b664b1,2013-07,Essex Police,Essex Police,0.084822,51.607228,On or near KEATS CLOSE,E01021764,Epping Forest 017A,Investigation complete; no suspect identified
4a5e6cac9ff860eeb1415dd8ba2b6c7682dc2b347bb414cd678e548ec1a41edc,2013-07,Essex Police,Essex Police,0.461821,51.721692,On or near PRINCES ROAD,E01021556,Chelmsford 012A,Investigation complete; no suspect identified
3c3783659fc3c6a05b3cf171af1798f7bdc6d9cf869fbe37026406c057bc7780,2013-07,Essex Police,Essex Police,0.092766,51.779753,On or near FIFTH AVENUE ALLENDE AVENUE,E01021853,Harlow 003E,Investigation complete; no suspect identified
d41d88094fdb21c60b6d5c801001108b40b62bb3dd6abc72c196ff9abce1f498,2013-07,Essex Police,Essex Police,0.649585,51.562622,On or near LODGE FARM CLOSE,E01015818,Southend-on-Sea 003E,Investigation complete; no suspect identified
22ef7c3f20211db9ebced0af83d8f3cbee60744d186746982ac57e15496b6516,2013-07,Essex Police,Essex Police,1.017364,51.814294,On or near ASH CLOSE,E01021980,Tendring 011B,Investigation complete; no suspect identified
e6fd4768d2850872b09a9ea490b5a68a7296bfe048ad859c61426d45c66c2945,2013-07,Essex Police,Essex Police,0.461625,51.576151,On or near BUTNEYS,E01021319,Basildon 017E,Investigation complete; no suspect identified
89627992e9c67ab9e7e2ec6fdcbeeb840a098bb7bd435b56a162f9f1c2a19d29,2013-07,Essex Police,Essex Police,0.503664,51.572905,On or near WIMBISH END,E01021306,Basildon 013E,Investigation complete; no suspect identified
55d6e77fee6695bf2562deb6b1c2f9264ba6543b3b9b5033ea8f39f4d1ff6931,2013-07,Essex Police,Essex Police,0.468329,51.700817,On or near PYMS ROAD,E01021552,Chelmsford 017A,Investigation complete; no suspect identified
e8ee87bd8ec4c990e8eff00b60c1995a6b79230c71099c35d784d904747301dc,2013-07,Essex Police,Essex Police,0.325177,51.473212,On or near ARGENT STREET,E01015954,Thurrock 017D,Investigation complete; no suspect identified
1bd8bc127eaa83f7c8a9aed9c8c2074c4e3c43db1168294474f3f36e36e5ac9b,2013-07,Essex Police,Essex Police,0.159170,51.991797,On or near Sports/Recreation Area,E01022071,Uttlesford 003B,Investigation complete; no suspect identified
68f7702f0ec0ed191fbc8ae0a7882f722a2d4a8a2f59aae1f4ac9ad15aeec792,2013-07,Essex Police,Essex Police,1.136850,51.785298,On or near PRINCE CHARLES CLOSE,E01022036,Tendring 017C,Investigation complete; no suspect identified
6b223a0fc23a534b8bd23e58633b65878e924d903235ce9a035cf23b4032ad2e,2013-07,Essex Police,Essex Police,0.928193,51.773982,On or near Parking Area,E01021731,Colchester 021A,Investigation complete; no suspect identified
5bb5b6d0352964eb699561b844b9cdee1f6a6dd9d27a24bf5b832bc4d7ccdebe,2013-07,Essex Police,Essex Police,0.665088,51.569394,On or near SUNNYBANK CLOSE,E01015833,Southend-on-Sea 001A,Investigation complete; no suspect identified
7c4f178c360950325efdda17632988faba7655901230524b3c16c3766fcb3389,2013-07,Essex Police,Essex Police,0.588717,51.590728,On or near KELVEDON CLOSE,E01021957,Rochford 006C,Investigation complete; no suspect identified
94ff0782115de76b21fecd4d3ac3a8e030498f22cdfb9eb0b62f3b9ce02ebaa7,2013-07,Essex Police,Essex Police,0.687164,51.773780,On or near THE PADDOCKS,E01021883,Maldon 002B,Investigation complete; no suspect identified
