Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
502f022121b8b2f1517b84d12a63635f4d7a4d86787dc29e791755f41cf81d48,2014-03,Northamptonshire Police,Northamptonshire Police,-0.919900,52.252231,On or near ST MARGARET'S GARDENS,E01027242,Northampton 017C,Investigation complete; no suspect identified
65f94744edd273229d61736c6798d82f0d2eede80abe8a80385d221bf747d957,2014-03,Northamptonshire Police,Northamptonshire Police,-0.898320,52.236918,On or near Nightclub,E01032979,Northampton 021F,Investigation complete; no suspect identified
2524efd1dab2ab413f84f62b24b55415047cb5ef868dcd19b78aaa120ce08503,2014-03,Northamptonshire Police,Northamptonshire Police,-0.868449,52.275943,On or near DEER PARK ROAD,E01027218,Northampton 002A,Investigation complete; no suspect identified
a1ff956e85b52680b3f41f5b7037e5361c4f7c9aa4db14b86e7c438bd78b9ca9,2014-03,Northamptonshire Police,Northamptonshire Police,-0.822098,52.250136,On or near KNIGHTS COURT,E01027138,Northampton 016B,Investigation complete; no suspect identified
3cbedcc0b7a75bb08cf2a1773ee4154ef0591b089dd24691409def6a37216861,2014-03,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Investigation complete; no suspect identified
078b722d8d023d6889bada089c38093c0001a561e296543cfc321e908f09e525,2014-03,Northamptonshire Police,Northamptonshire Police,-0.903320,52.222417,On or near FAWSLEY ROAD,E01027156,Northampton 027A,Investigation complete; no suspect identified
b3d2f63b2c23734b5022875b7e4d28119fb947e4a79dcdcf543e012ef5f20e9b,2014-03,Northamptonshire Police,Northamptonshire Police,-0.852502,52.263472,On or near BUTTERMERE CLOSE,E01027168,Northampton 012A,Investigation complete; no suspect identified
436f5eb4539f49c662e2d67d7d6889d929c08d453611186095453192d9fa5431,2014-03,Northamptonshire Police,Northamptonshire Police,-0.713401,52.305949,On or near MINERVA WAY,E01027310,Wellingborough 007B,Investigation complete; no suspect identified
c491650da6423083f065ab65cf00da284cec1aa766ce49382a32b0b34869d7b6,2014-03,Northamptonshire Police,Northamptonshire Police,-0.471074,52.490279,On or near ST WILFRIDS ROAD,E01027047,East Northamptonshire 002D,Investigation complete; no suspect identified
f4051d02df706ada2e661ec2f13faca8c7a2d1451ce288d07076ec0847f4e248,2014-03,Northamptonshire Police,Northamptonshire Police,-0.886041,52.246558,On or near COLWYN ROAD,E01027225,Northampton 023B,Investigation complete; no suspect identified
85d3e380b7a1baad94a1b555271cf34d8685a447ea0f1e40cdda9e5a81429f8a,2014-03,Northamptonshire Police,Northamptonshire Police,-0.470235,52.489000,On or near LATHAM ROAD,E01027047,East Northamptonshire 002D,Investigation complete; no suspect identified
d324d7662903a085bb3c16926cab9c640bdabdd62744619e9cdfded50ce68cbb,2014-03,Northamptonshire Police,Northamptonshire Police,-0.706604,52.471061,On or near MELFORD CLOSE,E01032963,Corby 009B,Investigation complete; no suspect identified
74c3f669c3cefd676e84d921890284a20a91d82394c96469305c32c82a964ac9,2014-03,Northamptonshire Police,Northamptonshire Police,-0.624992,52.252248,On or near Sports/Recreation Area,E01017503,Bedford 002C,Investigation complete; no suspect identified
6ee3bbae2a364d8a1b52f2bb793dc0c717213eef5e27c50fbbe79380dc0c082d,2014-03,Northamptonshire Police,Northamptonshire Police,-0.840815,52.272213,On or near FARM FIELD COURT,E01027248,Northampton 004D,Investigation complete; no suspect identified
da52d6a4d9cb555825b5670f9450130ba480273f323cbd69cac85637e14c1098,2014-03,Northamptonshire Police,Northamptonshire Police,-0.907072,52.137507,On or near NORTHAMPTON ROAD,E01027297,South Northamptonshire 005A,Investigation complete; no suspect identified
c683174444662374981cc519da6e9f67acea8e4edf788d75366b57cce12336aa,2014-03,Northamptonshire Police,Northamptonshire Police,-0.678852,52.305208,On or near WHITWORTH ROAD,E01027316,Wellingborough 004D,Investigation complete; no suspect identified
a007fbe1945b6840812d16c9e1c54d5379901ff82eb7f23a97b64f9472fcb886,2014-03,Northamptonshire Police,Northamptonshire Police,-1.181990,52.268767,On or near STEPHENSON CLOSE,E01026986,Daventry 007A,Investigation complete; no suspect identified
82357e844bd05fda4115cbcd5fc1f3dc4d7378a8526e9e67685a8f5db1005d4d,2014-03,Northamptonshire Police,Northamptonshire Police,-1.026519,52.087296,On or near BRABHAM CLOSE,E01027295,South Northamptonshire 007B,Investigation complete; no suspect identified
11f0c41b322456f03e0b8bcd04228ee1c113314d8438982e8da4b7ac802be0e6,2014-03,Northamptonshire Police,Northamptonshire Police,-0.726908,52.388792,On or near THE CLOSE,E01027114,Kettering 009B,Investigation complete; no suspect identified
c032cb1fcd3b30668fac1f8540496b39c7967fcd541796cc5e7ffcc8fbc661f0,2014-03,Northamptonshire Police,Northamptonshire Police,-0.942996,52.208691,On or near Motorway Service Area,E01027285,South Northamptonshire 001C,Investigation complete; no suspect identified
e071f85f96fffeeb91b0363fac5a96785c7ad5f5369f0ec41b7a9c1c0e9354c8,2014-03,Northamptonshire Police,Northamptonshire Police,-0.944486,52.248974,On or near HARDLANDS ROAD,E01027213,Northampton 018A,Investigation complete; no suspect identified
64c4f5ef2f91935ca1e74a484a9daed07a6ed42f344e4017e1fc6b3881efb7bc,2014-03,Northamptonshire Police,Northamptonshire Police,-0.924377,52.226414,On or near HAMMERSTONE LANE,E01027234,Northampton 026B,Investigation complete; no suspect identified
