12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/12/2007,British Transport Police,British Transport Police,Bicycle theft,4517
31/12/2007,British Transport Police,British Transport Police,Criminal damage and arson,11070
31/12/2007,British Transport Police,British Transport Police,Domestic burglary,4
31/12/2007,British Transport Police,British Transport Police,Drug offences,3632
31/12/2007,British Transport Police,British Transport Police,Fraud offences to 2012/13,991
31/12/2007,British Transport Police,British Transport Police,Homicide,4
31/12/2007,British Transport Police,British Transport Police,Miscellaneous crimes against society,631
31/12/2007,British Transport Police,British Transport Police,Non-domestic burglary,820
31/12/2007,British Transport Police,British Transport Police,Possession of weapons offences,874
31/12/2007,British Transport Police,British Transport Police,Public order offences,8307
31/12/2007,British Transport Police,British Transport Police,Robbery,1205
31/12/2007,British Transport Police,British Transport Police,Sexual offences,793
31/12/2007,British Transport Police,British Transport Police,Shoplifting,1583
31/12/2007,British Transport Police,British Transport Police,Theft from the person,9697
31/12/2007,British Transport Police,British Transport Police,Vehicle offences,4065
31/12/2007,British Transport Police,British Transport Police,Violence with injury,3033
31/12/2007,British Transport Police,British Transport Police,Violence without injury,4299
31/12/2007,Cambridgeshire,East,All other theft offences,9391
31/12/2007,Cambridgeshire,East,Bicycle theft,3833
31/12/2007,Cambridgeshire,East,Criminal damage and arson,14429
31/12/2007,Cambridgeshire,East,Domestic burglary,3585
31/12/2007,Cambridgeshire,East,Drug offences,2729
31/12/2007,Cambridgeshire,East,Fraud offences to 2012/13,1345
31/12/2007,Cambridgeshire,East,Homicide,9
31/12/2007,Cambridgeshire,East,Miscellaneous crimes against society,582
31/12/2007,Cambridgeshire,East,Non-domestic burglary,4226
31/12/2007,Cambridgeshire,East,Possession of weapons offences,380
31/12/2007,Cambridgeshire,East,Public order offences,2168
31/12/2007,Cambridgeshire,East,Robbery,662
31/12/2007,Cambridgeshire,East,Sexual offences,752
31/12/2007,Cambridgeshire,East,Shoplifting,3748
31/12/2007,Cambridgeshire,East,Theft from the person,850
31/12/2007,Cambridgeshire,East,Vehicle offences,9181
31/12/2007,Cambridgeshire,East,Violence with injury,4604
31/12/2007,Cambridgeshire,East,Violence without injury,3684
31/12/2007,Cheshire,North West,All other theft offences,11677
31/12/2007,Cheshire,North West,Bicycle theft,1552
31/12/2007,Cheshire,North West,Criminal damage and arson,19329
31/12/2007,Cheshire,North West,Domestic burglary,4016
31/12/2007,Cheshire,North West,Drug offences,1879
31/12/2007,Cheshire,North West,Fraud offences to 2012/13,714
31/12/2007,Cheshire,North West,Homicide,10
31/12/2007,Cheshire,North West,Miscellaneous crimes against society,695
31/12/2007,Cheshire,North West,Non-domestic burglary,5478
31/12/2007,Cheshire,North West,Possession of weapons offences,382
31/12/2007,Cheshire,North West,Public order offences,2685
31/12/2007,Cheshire,North West,Robbery,586
31/12/2007,Cheshire,North West,Sexual offences,726
31/12/2007,Cheshire,North West,Shoplifting,6028
31/12/2007,Cheshire,North West,Theft from the person,1355
31/12/2007,Cheshire,North West,Vehicle offences,10753
31/12/2007,Cheshire,North West,Violence with injury,7669
31/12/2007,Cheshire,North West,Violence without injury,5154
31/12/2007,Cleveland,North East,All other theft offences,8650
31/12/2007,Cleveland,North East,Bicycle theft,1186
31/12/2007,Cleveland,North East,Criminal damage and arson,17861
31/12/2007,Cleveland,North East,Domestic burglary,3499
31/12/2007,Cleveland,North East,Drug offences,2300
31/12/2007,Cleveland,North East,Fraud offences to 2012/13,508
31/12/2007,Cleveland,North East,Homicide,6
31/12/2007,Cleveland,North East,Miscellaneous crimes against society,774
31/12/2007,Cleveland,North East,Non-domestic burglary,4090
31/12/2007,Cleveland,North East,Possession of weapons offences,445
31/12/2007,Cleveland,North East,Public order offences,3696
31/12/2007,Cleveland,North East,Robbery,516
31/12/2007,Cleveland,North East,Sexual offences,543
31/12/2007,Cleveland,North East,Shoplifting,5262
31/12/2007,Cleveland,North East,Theft from the person,1106
31/12/2007,Cleveland,North East,Vehicle offences,7355
31/12/2007,Cleveland,North East,Violence with injury,5516
31/12/2007,Cleveland,North East,Violence without injury,4265
31/12/2007,Cumbria,North West,All other theft offences,4354
31/12/2007,Cumbria,North West,Bicycle theft,766
31/12/2007,Cumbria,North West,Criminal damage and arson,11727
31/12/2007,Cumbria,North West,Domestic burglary,879
31/12/2007,Cumbria,North West,Drug offences,1491
31/12/2007,Cumbria,North West,Fraud offences to 2012/13,518
31/12/2007,Cumbria,North West,Homicide,4
31/12/2007,Cumbria,North West,Miscellaneous crimes against society,566
31/12/2007,Cumbria,North West,Non-domestic burglary,1919
31/12/2007,Cumbria,North West,Possession of weapons offences,271
31/12/2007,Cumbria,North West,Public order offences,2002
31/12/2007,Cumbria,North West,Robbery,55
31/12/2007,Cumbria,North West,Sexual offences,349
31/12/2007,Cumbria,North West,Shoplifting,2244
31/12/2007,Cumbria,North West,Theft from the person,169
31/12/2007,Cumbria,North West,Vehicle offences,2678
31/12/2007,Cumbria,North West,Violence with injury,3888
31/12/2007,Cumbria,North West,Violence without injury,2312
31/12/2007,Derbyshire,East Midlands,All other theft offences,11677
31/12/2007,Derbyshire,East Midlands,Bicycle theft,1129
31/12/2007,Derbyshire,East Midlands,Criminal damage and arson,18503
31/12/2007,Derbyshire,East Midlands,Domestic burglary,3995
31/12/2007,Derbyshire,East Midlands,Drug offences,1793
31/12/2007,Derbyshire,East Midlands,Fraud offences to 2012/13,1317
31/12/2007,Derbyshire,East Midlands,Homicide,7
31/12/2007,Derbyshire,East Midlands,Miscellaneous crimes against society,1040
31/12/2007,Derbyshire,East Midlands,Non-domestic burglary,5803
31/12/2007,Derbyshire,East Midlands,Possession of weapons offences,508
31/12/2007,Derbyshire,East Midlands,Public order offences,2493
31/12/2007,Derbyshire,East Midlands,Robbery,853
31/12/2007,Derbyshire,East Midlands,Sexual offences,1055
31/12/2007,Derbyshire,East Midlands,Shoplifting,3352
31/12/2007,Derbyshire,East Midlands,Theft from the person,1528
31/12/2007,Derbyshire,East Midlands,Vehicle offences,10318
31/12/2007,Derbyshire,East Midlands,Violence with injury,11147
31/12/2007,Derbyshire,East Midlands,Violence without injury,3286
31/12/2007,Devon and Cornwall,South West,All other theft offences,15281
31/12/2007,Devon and Cornwall,South West,Bicycle theft,1737
31/12/2007,Devon and Cornwall,South West,Criminal damage and arson,29967
31/12/2007,Devon and Cornwall,South West,Domestic burglary,4218
31/12/2007,Devon and Cornwall,South West,Drug offences,4041
31/12/2007,Devon and Cornwall,South West,Fraud offences to 2012/13,1553
31/12/2007,Devon and Cornwall,South West,Homicide,20
31/12/2007,Devon and Cornwall,South West,Miscellaneous crimes against society,941
31/12/2007,Devon and Cornwall,South West,Non-domestic burglary,7398
31/12/2007,Devon and Cornwall,South West,Possession of weapons offences,588
31/12/2007,Devon and Cornwall,South West,Public order offences,5185
31/12/2007,Devon and Cornwall,South West,Robbery,546
31/12/2007,Devon and Cornwall,South West,Sexual offences,1378
31/12/2007,Devon and Cornwall,South West,Shoplifting,7408
31/12/2007,Devon and Cornwall,South West,Theft from the person,1570
31/12/2007,Devon and Cornwall,South West,Vehicle offences,12614
31/12/2007,Devon and Cornwall,South West,Violence with injury,12375
31/12/2007,Devon and Cornwall,South West,Violence without injury,6405
31/12/2007,Dorset,South West,All other theft offences,8460
31/12/2007,Dorset,South West,Bicycle theft,1802
31/12/2007,Dorset,South West,Criminal damage and arson,11847
31/12/2007,Dorset,South West,Domestic burglary,1715
31/12/2007,Dorset,South West,Drug offences,1715
31/12/2007,Dorset,South West,Fraud offences to 2012/13,653
31/12/2007,Dorset,South West,Homicide,8
31/12/2007,Dorset,South West,Miscellaneous crimes against society,541
31/12/2007,Dorset,South West,Non-domestic burglary,3256
31/12/2007,Dorset,South West,Possession of weapons offences,355
31/12/2007,Dorset,South West,Public order offences,2309
31/12/2007,Dorset,South West,Robbery,215
31/12/2007,Dorset,South West,Sexual offences,714
31/12/2007,Dorset,South West,Shoplifting,3296
31/12/2007,Dorset,South West,Theft from the person,975
31/12/2007,Dorset,South West,Vehicle offences,5293
31/12/2007,Dorset,South West,Violence with injury,4670
31/12/2007,Dorset,South West,Violence without injury,4127
31/12/2007,Durham,North East,All other theft offences,6022
31/12/2007,Durham,North East,Bicycle theft,758
31/12/2007,Durham,North East,Criminal damage and arson,14706
31/12/2007,Durham,North East,Domestic burglary,2346
31/12/2007,Durham,North East,Drug offences,1284
31/12/2007,Durham,North East,Fraud offences to 2012/13,547
31/12/2007,Durham,North East,Homicide,5
31/12/2007,Durham,North East,Miscellaneous crimes against society,681
31/12/2007,Durham,North East,Non-domestic burglary,3885
31/12/2007,Durham,North East,Possession of weapons offences,473
31/12/2007,Durham,North East,Public order offences,2260
31/12/2007,Durham,North East,Robbery,196
31/12/2007,Durham,North East,Sexual offences,498
31/12/2007,Durham,North East,Shoplifting,2397
31/12/2007,Durham,North East,Theft from the person,399
31/12/2007,Durham,North East,Vehicle offences,5925
31/12/2007,Durham,North East,Violence with injury,4924
31/12/2007,Durham,North East,Violence without injury,1905
31/12/2007,Dyfed-Powys,Wales,All other theft offences,3209
31/12/2007,Dyfed-Powys,Wales,Bicycle theft,299
31/12/2007,Dyfed-Powys,Wales,Criminal damage and arson,7058
31/12/2007,Dyfed-Powys,Wales,Domestic burglary,761
31/12/2007,Dyfed-Powys,Wales,Drug offences,2395
31/12/2007,Dyfed-Powys,Wales,Fraud offences to 2012/13,390
31/12/2007,Dyfed-Powys,Wales,Homicide,8
31/12/2007,Dyfed-Powys,Wales,Miscellaneous crimes against society,387
31/12/2007,Dyfed-Powys,Wales,Non-domestic burglary,1517
31/12/2007,Dyfed-Powys,Wales,Possession of weapons offences,211
31/12/2007,Dyfed-Powys,Wales,Public order offences,1692
31/12/2007,Dyfed-Powys,Wales,Robbery,46
31/12/2007,Dyfed-Powys,Wales,Sexual offences,340
31/12/2007,Dyfed-Powys,Wales,Shoplifting,1471
31/12/2007,Dyfed-Powys,Wales,Theft from the person,108
31/12/2007,Dyfed-Powys,Wales,Vehicle offences,2153
31/12/2007,Dyfed-Powys,Wales,Violence with injury,3003
31/12/2007,Dyfed-Powys,Wales,Violence without injury,1614
31/12/2007,Essex,East,All other theft offences,15896
31/12/2007,Essex,East,Bicycle theft,2709
31/12/2007,Essex,East,Criminal damage and arson,27335
31/12/2007,Essex,East,Domestic burglary,5927
31/12/2007,Essex,East,Drug offences,3757
31/12/2007,Essex,East,Fraud offences to 2012/13,1861
31/12/2007,Essex,East,Homicide,20
31/12/2007,Essex,East,Miscellaneous crimes against society,1492
31/12/2007,Essex,East,Non-domestic burglary,7991
31/12/2007,Essex,East,Possession of weapons offences,1211
31/12/2007,Essex,East,Public order offences,5493
31/12/2007,Essex,East,Robbery,1325
31/12/2007,Essex,East,Sexual offences,1112
31/12/2007,Essex,East,Shoplifting,9311
31/12/2007,Essex,East,Theft from the person,884
31/12/2007,Essex,East,Vehicle offences,17537
31/12/2007,Essex,East,Violence with injury,11146
31/12/2007,Essex,East,Violence without injury,6842
31/12/2007,Gloucestershire,South West,All other theft offences,6165
31/12/2007,Gloucestershire,South West,Bicycle theft,1363
31/12/2007,Gloucestershire,South West,Criminal damage and arson,10602
31/12/2007,Gloucestershire,South West,Domestic burglary,2316
31/12/2007,Gloucestershire,South West,Drug offences,1355
31/12/2007,Gloucestershire,South West,Fraud offences to 2012/13,595
31/12/2007,Gloucestershire,South West,Homicide,4
31/12/2007,Gloucestershire,South West,Miscellaneous crimes against society,536
31/12/2007,Gloucestershire,South West,Non-domestic burglary,3408
31/12/2007,Gloucestershire,South West,Possession of weapons offences,263
31/12/2007,Gloucestershire,South West,Public order offences,2422
31/12/2007,Gloucestershire,South West,Robbery,327
31/12/2007,Gloucestershire,South West,Sexual offences,589
31/12/2007,Gloucestershire,South West,Shoplifting,3194
31/12/2007,Gloucestershire,South West,Theft from the person,833
31/12/2007,Gloucestershire,South West,Vehicle offences,5330
31/12/2007,Gloucestershire,South West,Violence with injury,3788
31/12/2007,Gloucestershire,South West,Violence without injury,3458
31/12/2007,Greater Manchester,North West,All other theft offences,36939
31/12/2007,Greater Manchester,North West,Bicycle theft,4633
31/12/2007,Greater Manchester,North West,Criminal damage and arson,68260
31/12/2007,Greater Manchester,North West,Domestic burglary,21641
31/12/2007,Greater Manchester,North West,Drug offences,11743
31/12/2007,Greater Manchester,North West,Fraud offences to 2012/13,3556
31/12/2007,Greater Manchester,North West,Homicide,49
31/12/2007,Greater Manchester,North West,Miscellaneous crimes against society,3376
31/12/2007,Greater Manchester,North West,Non-domestic burglary,19570
31/12/2007,Greater Manchester,North West,Possession of weapons offences,2280
31/12/2007,Greater Manchester,North West,Public order offences,16743
31/12/2007,Greater Manchester,North West,Robbery,7564
31/12/2007,Greater Manchester,North West,Sexual offences,2929
31/12/2007,Greater Manchester,North West,Shoplifting,15569
31/12/2007,Greater Manchester,North West,Theft from the person,4782
31/12/2007,Greater Manchester,North West,Vehicle offences,49266
31/12/2007,Greater Manchester,North West,Violence with injury,24489
31/12/2007,Greater Manchester,North West,Violence without injury,11704
31/12/2007,Gwent,Wales,All other theft offences,5038
31/12/2007,Gwent,Wales,Bicycle theft,524
31/12/2007,Gwent,Wales,Criminal damage and arson,12863
31/12/2007,Gwent,Wales,Domestic burglary,2260
31/12/2007,Gwent,Wales,Drug offences,2067
31/12/2007,Gwent,Wales,Fraud offences to 2012/13,401
31/12/2007,Gwent,Wales,Homicide,7
31/12/2007,Gwent,Wales,Miscellaneous crimes against society,496
31/12/2007,Gwent,Wales,Non-domestic burglary,3251
31/12/2007,Gwent,Wales,Possession of weapons offences,332
31/12/2007,Gwent,Wales,Public order offences,3103
31/12/2007,Gwent,Wales,Robbery,257
31/12/2007,Gwent,Wales,Sexual offences,573
31/12/2007,Gwent,Wales,Shoplifting,2942
31/12/2007,Gwent,Wales,Theft from the person,559
31/12/2007,Gwent,Wales,Vehicle offences,7575
31/12/2007,Gwent,Wales,Violence with injury,6209
31/12/2007,Gwent,Wales,Violence without injury,1374
31/12/2007,Hampshire,South East,All other theft offences,20782
31/12/2007,Hampshire,South East,Bicycle theft,5138
31/12/2007,Hampshire,South East,Criminal damage and arson,40626
31/12/2007,Hampshire,South East,Domestic burglary,5403
31/12/2007,Hampshire,South East,Drug offences,5501
31/12/2007,Hampshire,South East,Fraud offences to 2012/13,2529
31/12/2007,Hampshire,South East,Homicide,20
31/12/2007,Hampshire,South East,Miscellaneous crimes against society,2103
31/12/2007,Hampshire,South East,Non-domestic burglary,9562
31/12/2007,Hampshire,South East,Possession of weapons offences,1050
31/12/2007,Hampshire,South East,Public order offences,9497
31/12/2007,Hampshire,South East,Robbery,1104
31/12/2007,Hampshire,South East,Sexual offences,2282
31/12/2007,Hampshire,South East,Shoplifting,12901
31/12/2007,Hampshire,South East,Theft from the person,2166
31/12/2007,Hampshire,South East,Vehicle offences,19114
31/12/2007,Hampshire,South East,Violence with injury,15279
31/12/2007,Hampshire,South East,Violence without injury,13766
31/12/2007,Hertfordshire,East,All other theft offences,10350
31/12/2007,Hertfordshire,East,Bicycle theft,1675
31/12/2007,Hertfordshire,East,Criminal damage and arson,18233
