Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
f73d19b0e71f9e36b001444536b2045bb387195a719250bcc15b72dfb18fd365,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024931,51.686561,On or near BRYANSTONE ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
02384c9bbf7f6592e16a178c735bb2cfe806832c4222c5ae566c9dfba7a8a326,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032804,51.696162,On or near DAIRYGLEN AVENUE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
9bded5de6aafe2137b5e77a3dda81da5bf43ece693db184c5bae5d079a177adb,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
a2f54b47bdda790d695f7f3b9b4979bea97260b01cacc6c2d8a67e5096eaca95,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.052899,51.714805,On or near MORETON CLOSE,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
bd7543e81ed77f3e8b9d0449262406abb145e2a34345a147c737a1c4cb179024,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
80ea0d10b695d570456741c79f440b46fcf76ee29ead6c7e1e462b1a85a11ddd,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.085637,51.710181,On or near VALLEY VIEW,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
2c9ac49c0435658d201a86107f1cef98f61c908d145bb336c5dda272b67f82e8,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040850,51.715585,On or near MYLNE CLOSE,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
7759d27940041e94c3aacf29026f35b97e5f928574c8c4a99f868d1cfb0f82ab,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.048723,51.713612,On or near GREENBANK,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
46f53f6123ce0f4c0896e98f72482dd82ad092fd2b328eb64c0333fb4dc36bb2,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.065225,51.720746,On or near UPPER SHOTT,E01023308,Broxbourne 006B,Investigation complete; no suspect identified
f6dac48a587aa8683794e280849ed6fd1761598ac43fc1d43bfedc8943e48002,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
