Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8a7185bbd43d44778b6772853bc81d466f356d1989f418ce11f346f6466d000,2014-04,Dorset Police,Dorset Police,-2.457213,50.614789,On or near A353,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
ef66dbef879edb3864698964f6d1ee822b92998bfb6171e3aee2ddb140ce19ad,2014-04,Dorset Police,Dorset Police,-2.456734,50.619323,On or near CARLTON ROAD SOUTH,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
f5a2106088ac5b68edf6639ffb57618717efb95d6e3e58d99a87c7c3deabaa32,2014-04,Dorset Police,Dorset Police,-2.438683,50.713358,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
952a5bd99d68827116b61ea0fcfd96454f888245bbbf12f379bdc0fa727ff1dd,2014-04,Dorset Police,Dorset Police,-1.823688,50.907652,On or near Sports/Recreation Area,E01020373,East Dorset 001A,Investigation complete; no suspect identified
26b4b090c053999c04ef4f9d17c5715fc2e78b0a736bdc2e4d0d9a0211e07703,2014-04,Dorset Police,Dorset Police,-2.276377,51.041613,On or near Supermarket,E01020443,North Dorset 001A,Investigation complete; no suspect identified
af1c8e3f1a601b3db019413e1f1eed3d78ca1d7b81094d2c96923bd5eaaf0ff0,2014-04,Dorset Police,Dorset Police,-1.847313,50.785316,On or near TARGET WAY,E01020365,Christchurch 001D,Investigation complete; no suspect identified
23bf8d7b052f90845948426096a7fd8686aa45c688d6010a8be47015d1e03f19,2014-04,Dorset Police,Dorset Police,-2.138879,50.832606,On or near GREEN CLOSE,E01020453,North Dorset 006C,Investigation complete; no suspect identified
805283482ada44dbfece41afcca60b42d4f81e392f3b18e63114c8c6557f37c1,2014-04,Dorset Police,Dorset Police,-2.455358,50.611442,On or near CAROLINE PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
69e257d053499333e686525ce06c8c57c63f11b7e5fb2bb502acced134ae92e7,2014-04,Dorset Police,Dorset Police,-1.990221,50.624284,On or near BURNHAM'S LANE,E01020468,Purbeck 005C,Investigation complete; no suspect identified
274fb309d28d53d996ab74409a7ece2eebce66a78e148bac5d4fbb3dba229035,2014-04,Dorset Police,Dorset Police,-1.953450,50.798095,On or near FARM COURT,E01020407,East Dorset 009D,Investigation complete; no suspect identified
fb4c96dbb26d28966b05008bd86029544333630998799910ee58cc017f4f3c8d,2014-04,Dorset Police,Dorset Police,-1.878966,50.794130,On or near BIRCH WALK,E01020401,East Dorset 011D,Investigation complete; no suspect identified
f79d206d7a303d14a747ff1d7ea9f616b894dc3c35408c0a5a0cb92b15938342,2014-04,Dorset Police,Dorset Police,-2.442740,50.714081,On or near CORNWALL ROAD,E01032643,West Dorset 009G,Investigation complete; no suspect identified
9830c706806cfb9f251347a00073e38ed22f9b429df4ad212f6a005de5a43f81,2014-04,Dorset Police,Dorset Police,-1.970611,50.627905,On or near Parking Area,E01020480,Purbeck 006C,Investigation complete; no suspect identified
6da3849dfec157a0ed79d00c778216146215ef07133c425217e5b6922bc65f90,2014-04,Dorset Police,Dorset Police,-2.460873,50.614667,On or near Park/Open Space,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
241e7b48cca7c9a20a17163a6163aac155c2b39604805def693ce4b9a95ce510,2014-04,Dorset Police,Dorset Police,-1.874692,50.806049,On or near DUGDELL CLOSE,E01020394,East Dorset 008E,Investigation complete; no suspect identified
ce241082cc5faf3d3367c237b1051abadd4647d5c57df13dc4a56a71d3346433,2014-04,Dorset Police,Dorset Police,-1.858979,50.783334,On or near Sports/Recreation Area,E01020365,Christchurch 001D,Investigation complete; no suspect identified
9910dfc089f2afa92263bf9d0d70a796d6925ac2a27245590985a2879c8c09d9,2014-04,Dorset Police,Dorset Police,-2.458253,50.711467,On or near STOWCASTLE STREET,E01020528,West Dorset 009E,Investigation complete; no suspect identified
f2e16b97e3b2e3b9333f714686352b8f0895ab7632b548badb6b71a7e77fdb85,2014-04,Dorset Police,Dorset Police,-2.077919,50.942901,On or near COMMON DROVE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
78475cc2c30bc65ba387fa542f1bfdc287b9391ffedf78ee25a7e177913ed982,2014-04,Dorset Police,Dorset Police,-2.101779,50.671793,On or near TUCKERS MILL CLOSE,E01020467,Purbeck 005B,Investigation complete; no suspect identified
a56d4a7873c5f374ec4d3f37ea5773e0a0044286f45364e5b14da251d49bce04,2014-04,Dorset Police,Dorset Police,-2.199152,50.884747,On or near SOUTH HOLME,E01020444,North Dorset 005A,Investigation complete; no suspect identified
f2d29ad6db2f89d148fe39dfa96f4245a1409ce5c985152ec9403a3ea5b95eba,2014-04,Dorset Police,Dorset Police,-2.642232,50.750715,On or near SHATCOMBE LANE,E01020531,West Dorset 007C,Investigation complete; no suspect identified
25281f920eb00425873e919a9538fd0717c2627c6fa9d1c41dc1f66754c231dd,2014-04,Dorset Police,Dorset Police,-2.642232,50.750715,On or near SHATCOMBE LANE,E01020531,West Dorset 007C,Investigation complete; no suspect identified
6d30086cbec5ac5be4451b1bb8c8c78213ef95c46ad3c9b221469d1217d3ac47,2014-04,Dorset Police,Dorset Police,-1.800766,50.742908,On or near Petrol Station,E01020351,Christchurch 002A,Investigation complete; no suspect identified
d06962613c57d780ad458287336d31c034d86a4197b44d833e3d2833636bb25b,2014-04,Dorset Police,Dorset Police,-2.254641,50.893559,On or near LANCHARDS LANE,E01020444,North Dorset 005A,Investigation complete; no suspect identified
c82886b56f8b107401fa0938c05caa304cda9bdefb2a5f2d7d92d67d886e0ada,2014-04,Dorset Police,Dorset Police,-2.439577,50.710522,On or near Parking Area,E01032645,West Dorset 009I,Investigation complete; no suspect identified
c807763630bcbadee9d4d9aea9f385e80dd3f8789b7d815e6fd20695f12f11f8,2014-04,Dorset Police,Dorset Police,-1.793493,50.740216,On or near BARRACK ROAD,E01020361,Christchurch 006B,Investigation complete; no suspect identified
e2ec5834d8d706cd4155ff63b5cf158ea15764be73c983935914a27188eb659c,2014-04,Dorset Police,Dorset Police,-2.447050,50.707023,On or near CLARENCE ROAD,E01020526,West Dorset 009C,Investigation complete; no suspect identified
3b856bd911973b9cb984fc6c9e4e1a7dcae5988748afc347614eaf3816cecc0a,2014-04,Dorset Police,Dorset Police,-2.335047,51.028340,On or near VESEY'S HOLEHILL,E01020440,North Dorset 002A,Investigation complete; no suspect identified
cf517b86d92a9c07c5cf8361c2dc3501809d494f30290719bb9ab7f6195e419d,2014-04,Dorset Police,Dorset Police,-2.768787,50.748114,On or near DOTTERY ROAD,E01020536,West Dorset 007D,Investigation complete; no suspect identified
43de174166fafa74d7d897503582fda279ac9096cd94e11161262b66d4b1f42c,2014-04,Dorset Police,Dorset Police,-2.232111,50.969043,On or near Park/Open Space,E01020460,North Dorset 005D,Investigation complete; no suspect identified
53cc2ce536582f7c3c1f8aa198c4b63d473cefc451f2574dd8221bb384962b9a,2014-04,Dorset Police,Dorset Police,-2.018682,50.701566,On or near Park/Open Space,E01020467,Purbeck 005B,Investigation complete; no suspect identified
f0294749fb46badedb6d3b70033d65bd6edbd16b4fc8b3708e00a1f9461941bc,2014-04,Dorset Police,Dorset Police,-2.461545,50.605401,On or near PORTMORE GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
89dc3df6fea3da0fe3912da18a6376a5c7e0f98689bce96dd5947277f8a4c8c5,2014-04,Dorset Police,Dorset Police,-2.435590,50.714287,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
a1aae003283e47210f809aaaa770d561964d32849007ac8c8edfc8267c1cbe95,2014-04,Dorset Police,Dorset Police,-1.682056,50.751395,On or near WALKFORD LANE,E01020357,Christchurch 003C,Investigation complete; no suspect identified
f2edfa4e96ecaca54784c13147fb8d0ce7d69fd17f7ac585fa60b8edc5a9a613,2014-04,Dorset Police,Dorset Police,-1.968895,50.613750,On or near PROSPECT CRESCENT,E01020478,Purbeck 006A,Investigation complete; no suspect identified
86337df04326d29be4407be15cc08bcb46ee92306de1a12027d2eb9492df6dd4,2014-04,Dorset Police,Dorset Police,-2.454025,50.608030,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
dd44682ddfa71694c237501eb3f3c9059ba5603833756f94d74ae67fb5f9545f,2014-04,Dorset Police,Dorset Police,-1.961102,50.810507,On or near ROTARY CLOSE,E01020379,East Dorset 007B,Investigation complete; no suspect identified
54cbdc80c3a7479574f8fbfead5a9fdeb91d248b5eb99c83075fcc305be88f9d,2014-04,Dorset Police,Dorset Police,-1.908760,50.780254,On or near LAKE FARM CLOSE,E01020399,East Dorset 011B,Investigation complete; no suspect identified
fba05ee6ecc4e73fbb3d4ea12814bcbec2c7a84cf8a2aa26a3123cd0ba2749a2,2014-04,Dorset Police,Dorset Police,-1.758077,50.740319,On or near REDVERS ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
f01c3dec2aaef7f5a046171ccaf12e2692b631b1c904a144fd7bf4af25c0aada,2014-04,Dorset Police,Dorset Police,-2.442611,50.712354,On or near VICTORIA ROAD,E01032643,West Dorset 009G,Investigation complete; no suspect identified
