Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
98ea6e6a62385f0cec48ae24295bcda09c6b12c8391180fbad9c22a037817d1c,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.277694,52.451919,On or near SLIPSHOE LANE,E01026872,South Norfolk 013A,Investigation complete; no suspect identified
ed607fae1ed0c4bdf8705e397ed0d67936ac6b4aab69e2e8791f7e4bddc1dfa9,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.115389,52.571308,On or near Sports/Recreation Area,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
689799209469ca963f8a454615ef2e295c20fcb726e7e696d723affb0827938b,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.296497,52.631379,On or near THE MONASTERY,E01033438,Norwich 014A,Investigation complete; no suspect identified
61a8bdc9596aac9e343ca2cfe009f4836e1212c1f9148d67c8ec266a013f8dd1,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.297665,52.631580,On or near WAGGON AND HORSES LANE,E01033438,Norwich 014A,Investigation complete; no suspect identified
b60e46c4f57572800ef96912ba551a0707ef2d3b1cbc8c219e9883e76f1c9828,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.175172,52.601357,On or near CROMWELL CLOSE,E01026907,South Norfolk 003C,Investigation complete; no suspect identified
efb7d36fcf5e1e1160ea3a3e0c17c322c54d8f0b7fb3dad27e7ea7250a03696f,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.297158,52.629958,On or near BANK PLAIN,E01026822,Norwich 007A,Investigation complete; no suspect identified
fb4a5f7ec157b9fa6aa430aab15385128fc331944d2f24b12250474d87c66fcd,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.286485,52.626981,On or near Pedestrian Subway,E01033437,Norwich 011H,Investigation complete; no suspect identified
7192204d0882a947d58efff55c96c34201f3be7f73340bc80fc2128e16d2adb3,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.710110,52.576832,On or near KING'S ROAD,E01026603,Great Yarmouth 009C,Investigation complete; no suspect identified
e0fdba938e231bf4276132f9ff4e2dc77fa259d0f9c5e9518ca1bf2c1fec77fb,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.295926,52.399392,On or near Petrol Station,E01026900,South Norfolk 013B,Investigation complete; no suspect identified
c2ccfe27c2d7bc36faa62a94217cd86705771ead3c066a7999aa7e3527cd8270,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.145154,52.583578,On or near NORWICH COMMON,E01026933,South Norfolk 007C,Investigation complete; no suspect identified
39a99e2f46ea36f9b40216d4d9410cda78642570cbbbe94fc9f931c59bcb827b,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.736674,52.418167,On or near WINCHESTER WAY,E01026465,Breckland 015A,Investigation complete; no suspect identified
