Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e3dc68a72aa313e298bd6457e80421bad59892b7f6a00469c21016fe59c395f,2013-09,Northamptonshire Police,Northamptonshire Police,-0.724193,52.410601,On or near RESERVOIR ROAD,E01027080,Kettering 004B,Investigation complete; no suspect identified
ddf3455fcfd6b2a911df6c34434650dd35e6ce48761121d8b18a11647628dc70,2013-09,Northamptonshire Police,Northamptonshire Police,-0.732496,52.310130,On or near MORRIS CLOSE,E01027346,Wellingborough 003D,Investigation complete; no suspect identified
f82e61563cae1a980e65fbaa6911acadd1c86a4ee86d7d9c78623b2dcf6834b0,2013-09,Northamptonshire Police,Northamptonshire Police,-0.875120,52.243424,On or near MONKS PARK ROAD,E01027134,Northampton 022C,Investigation complete; no suspect identified
dc0a93fc35be23580dd62fbfc275ac1ba5af016a963cd02cd411e97171cf74c1,2013-09,Northamptonshire Police,Northamptonshire Police,-0.817351,52.254026,On or near CAMPION COURT,E01027140,Northampton 011A,Investigation complete; no suspect identified
e3e284b4ba711253cca8b4045f21c96bdf6de9a2e563fb41b7ef2c3b3422d44d,2013-09,Northamptonshire Police,Northamptonshire Police,-0.739434,52.224863,On or near Shopping Area,E01027308,South Northamptonshire 002D,Investigation complete; no suspect identified
5843d28a1ccd6277cd795defa6f6799245fb37983848ea76ea5623808377cc45,2013-09,Northamptonshire Police,Northamptonshire Police,-0.911584,52.244269,On or near CHEPSTOW CLOSE,E01027241,Northampton 017B,Investigation complete; no suspect identified
d0efeb62b6ebc0bde4e6aa419ab04a3d989255ef66b4f4f58fb0bca95b380aa3,2013-09,Northamptonshire Police,Northamptonshire Police,-0.607801,52.289422,On or near LYDIA COURT,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
6000f97a81b7fba82f8fdc8410c779432f2e72dedafa0c1438300fdd0f72645b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.891277,52.054463,On or near NORTH WAY,E01027281,South Northamptonshire 008C,Investigation complete; no suspect identified
348eaf71cc4b07a6e305c977e0e004111251d939906b370e873222c7cf78eab9,2013-09,Northamptonshire Police,Northamptonshire Police,-0.897258,52.243723,On or near TEMPLE BAR,E01027153,Northampton 021C,Investigation complete; no suspect identified
38663838fbd7308ae6d567187b07d8423c18bd02dd12123337ea0c7e743a9fe3,2013-09,Northamptonshire Police,Northamptonshire Police,-0.726023,52.400641,On or near Nightclub,E01027110,Kettering 007B,Investigation complete; no suspect identified
0c2041e8a660d78f931a4176fff7437b33b4a0e47c7feb2c79f4a5b611dc9f9a,2013-09,Northamptonshire Police,Northamptonshire Police,-1.180724,52.272282,On or near WHITTLE CLOSE,E01026990,Daventry 006C,Investigation complete; no suspect identified
cff14a5d9892957cf1168da060fc6edc94263e24cce71b6f8323dd97941cf517,2013-09,Northamptonshire Police,Northamptonshire Police,-0.842107,52.263136,On or near Pedestrian Subway,E01027182,Northampton 006C,Investigation complete; no suspect identified
0e836926317120e94e0a63f7536c095beba4d4cc98d6280d27e78d014559bd92,2013-09,Northamptonshire Police,Northamptonshire Police,-0.826795,52.230349,On or near MEADOW LANE,E01027273,South Northamptonshire 002A,Investigation complete; no suspect identified
