Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
946dfe6543567dd935cafeb39aecb0195b2c600a83678b5f1d843842532d93c1,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.083214,52.138935,On or near THE LIMES,E01018253,South Cambridgeshire 014B,Investigation complete; no suspect identified
f819dcddecb28bd5456376a90a74b06b49e9498552fca39a99556111b5e557fc,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.116593,52.229195,On or near SUNFLOWER STREET,E01033120,South Cambridgeshire 006G,Investigation complete; no suspect identified
50e79411f8c8103d9bfea205dc2ada6c4d10851b046c030e33bd4773ab1fb171,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279730,52.529873,On or near ALBERT CRESCENT,E01033178,Peterborough 023E,Investigation complete; no suspect identified
b0314b9f7555181b72c3e4e594a00c5517eb613760f0f7d718dbbfc519e77fd8,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.263707,52.399758,On or near CHEQUER LANE,E01018025,East Cambridgeshire 004B,Investigation complete; no suspect identified
4df16de4c2528323b87886c529dd2c0ffcadb250d94f0ad6a663fb07a707939e,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.399725,52.152476,On or near CHURCH ROAD,E01018218,South Cambridgeshire 016A,Investigation complete; no suspect identified
3f0da9136fe96883ba2fe034d84b0874186e1917bfca387248b7da8b66ffd0d2,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134489,52.205431,On or near EAST ROAD,E01017991,Cambridge 008E,Investigation complete; no suspect identified
f101a0f286d214e014fb331a7429d901f1a96488f8039ad2df104b0c146822b2,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110642,52.242052,On or near CAMBRIDGE ROAD,E01018260,South Cambridgeshire 006D,Investigation complete; no suspect identified
1ab921d86e4bf36c476dbe30ba3316daa98e8b625be459c49e15af0900f41fd5,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157494,52.199024,On or near Petrol Station,E01017999,Cambridge 009C,Investigation complete; no suspect identified
052567771bd85f8540f230bc7fa06c7df33b404c46481b6bb353ff266f5e3163,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110381,52.243019,On or near Supermarket,E01018260,South Cambridgeshire 006D,Investigation complete; no suspect identified
0196c38c1d5eaadf728ffdb016ed4018165ab245b6d9d9282330dc5b997951b7,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.141965,52.225447,On or near MILTON ROAD,E01017976,Cambridge 001B,Investigation complete; no suspect identified
ce2528cef4830d84fddc9cea6e517ef929e054bb898f66f6db6f460f75e4c358,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238101,52.604874,On or near SHEEPWALK,E01015657,Peterborough 007D,Investigation complete; no suspect identified
d27081a54db9408b23be7dcc2cc02b8ee1559f09d758e784128315e5cae47957,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.160235,52.619426,On or near Sports/Recreation Area,E01018066,Fenland 004A,Investigation complete; no suspect identified
4b652555b7d038c2c5e557a03eccb5b6a952ae4486595a0668746b22b4efece3,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.182358,52.084583,On or near CHURCH GREEN,E01018289,South Cambridgeshire 017D,Investigation complete; no suspect identified
0af919e6d34b162198d5ae6212fc2feae1f931920c625bf8e1dc7ff34827cfe2,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.069712,52.219109,On or near Supermarket,E01033114,South Cambridgeshire 020B,Investigation complete; no suspect identified
574b81feaade6522136c2eb70c1343716222b20074b116069e551eb73561b89d,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.254457,52.588690,On or near BOURGES BOULEVARD,E01015603,Peterborough 010A,Investigation complete; no suspect identified
3ffd4dfde3151ff7e1c5bc2aef77576cc8a61d51d5f0fa298a15a96f6d42bde6,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.169862,52.123336,On or near Supermarket,E01018280,South Cambridgeshire 015B,Investigation complete; no suspect identified
