Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c076322637a27a4a65c5a89dbcbb8a1e61c5948db4c59c5b77ca1376dc268cad,2015-06,Surrey Police,Surrey Police,-0.259274,51.345392,On or near LARBY PLACE,E01030391,Epsom and Ewell 007B,Investigation complete; no suspect identified
b0d1dd3296cde88c1b20dc4920a5bf351cb58f850a21c7bf47f566b302255fc9,2015-06,Surrey Police,Surrey Police,-0.250030,51.352457,On or near MILL LANE,E01030390,Epsom and Ewell 010B,Investigation complete; no suspect identified
bf4269ab094f531e1b208188ef21e2eef63fb802744ad6e9feb4a61008729a09,2015-06,Surrey Police,Surrey Police,-0.245855,51.354238,On or near EWELL BY-PASS,E01030406,Epsom and Ewell 003C,Investigation complete; no suspect identified
d97ad46c355d114a27fa0a68d7517f6a6a2a84c8bbced70f6196fd73e7177478,2015-06,Surrey Police,Surrey Police,-0.244412,51.346537,On or near CHATSFIELD,E01030396,Epsom and Ewell 010D,Investigation complete; no suspect identified
b8d1a76c452c58b7aa1dee2899623ee3d1e253a27a17bd37d8ac94935be83184,2015-06,Surrey Police,Surrey Police,-0.252731,51.340735,On or near PARK HILL ROAD,E01030391,Epsom and Ewell 007B,Investigation complete; no suspect identified
a52c0a9ae65f3cf994271c346d83de29f19229ec772078bb70832f902cf5d3f7,2015-06,Surrey Police,Surrey Police,-0.252731,51.340735,On or near PARK HILL ROAD,E01030391,Epsom and Ewell 007B,Investigation complete; no suspect identified
040636a6c11839bbb3b10f3561b84590b70dafae6b6b673cc6b922063423b7c4,2015-06,Surrey Police,Surrey Police,-0.249246,51.345539,On or near PERSFIELD CLOSE,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
02295316de056de1b43c61f7059e5dc01568278791d63495a770210226b58330,2015-06,Surrey Police,Surrey Police,-0.249246,51.345539,On or near PERSFIELD CLOSE,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
0d4b33d7fe0b08789050c2d4b7a7ffd96f940553463ce9829ea915a96dafe370,2015-06,Surrey Police,Surrey Police,-0.249246,51.345539,On or near PERSFIELD CLOSE,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
69fecac7d47bbd9e92c7ed883dc82a58a0e85844088d1f26435d4676948ec36f,2015-06,Surrey Police,Surrey Police,-0.242267,51.342161,On or near Sports/Recreation Area,E01030396,Epsom and Ewell 010D,Investigation complete; no suspect identified
c3d44bd70a8661ee7deed36fe248afe397a6240a9ecbc24d03543bc2eda23ba0,2015-06,Surrey Police,Surrey Police,-0.234345,51.364101,On or near Parking Area,E01030398,Epsom and Ewell 010E,Investigation complete; no suspect identified
2be7697e3ce2f08cb87508d96f8e41bcf4fd1f7081d88b93aa77e78e9353e6a6,2015-06,Surrey Police,Surrey Police,-0.263531,51.368000,On or near Supermarket,E01030393,Epsom and Ewell 001E,Investigation complete; no suspect identified
e33f61a577b54977e0ce4de22594cb616249055609602e31e2a1cfde3fac97c3,2015-06,Surrey Police,Surrey Police,-0.247620,51.376863,On or near WOODLANDS AVENUE,E01030389,Epsom and Ewell 001D,Investigation complete; no suspect identified
9744c62e6f6b9f2dbe0cf100c7ba9cc6ecae55cda3d9a9d72b8f5205f9caeb54,2015-06,Surrey Police,Surrey Police,-0.268362,51.373602,On or near WORCESTER PARK ROAD,E01030388,Epsom and Ewell 001C,Investigation complete; no suspect identified
cf74edd1573e958132223a202342eab4c9f89fc3f5c66a80a5ebdcdd6a1ce6d1,2015-06,Surrey Police,Surrey Police,-0.259861,51.365148,On or near KINGSTON ROAD,E01030377,Epsom and Ewell 003A,Investigation complete; no suspect identified
a705dc69f5ad17b0931a89047eeebc84fef3479c1f74c439328f05059ca699e3,2015-06,Surrey Police,Surrey Police,-0.262697,51.361567,On or near OAKLAND WAY,E01030394,Epsom and Ewell 002A,Investigation complete; no suspect identified
9e5e34e9b31cc1442de32b00118b02dee4e920e035c59d298db83ac21d43f196,2015-06,Surrey Police,Surrey Police,-0.285655,51.360295,On or near KELVIN CLOSE,E01030401,Epsom and Ewell 005C,Investigation complete; no suspect identified
010673ffd5281ac05ab3a2b8ea76ff9854adf70ff7fd0408199a637281d92ad3,2015-06,Surrey Police,Surrey Police,-0.276379,51.362515,On or near RUXLEY LANE,E01030399,Epsom and Ewell 002B,Investigation complete; no suspect identified
6f71ea166ea588b2fa4f472ec10d8b40776d9b51500b8944d23568fbf90a8260,2015-06,Surrey Police,Surrey Police,-0.276639,51.364407,On or near LARKSPUR WAY,E01030399,Epsom and Ewell 002B,Investigation complete; no suspect identified
59c98e0b1195384a7977067fc22c012cd56729a09dd5ece1cfb4b18b7cc12f2a,2015-06,Surrey Police,Surrey Police,-0.274531,51.367344,On or near CHERWELL COURT,E01030400,Epsom and Ewell 002C,Investigation complete; no suspect identified
f98ef8fe6f38f6a284014481c953ee1516a4ed82fe7a3e127d51e2c52f885c4b,2015-06,Surrey Police,Surrey Police,-0.274536,51.368360,On or near WATERSEDGE,E01030400,Epsom and Ewell 002C,Investigation complete; no suspect identified
bbb5b57b66bf72b7564dfbecb18ce91d7a2b4c47f4d4773ede81ac3093c72346,2015-06,Surrey Police,Surrey Police,-0.270154,51.366083,On or near BRIDLE CLOSE,E01030394,Epsom and Ewell 002A,Investigation complete; no suspect identified
0df45814b6025a36bdd69f857f92e76ccc4c0df265c3fa36d63029cef329b8a5,2015-06,Surrey Police,Surrey Police,-0.255606,51.313405,On or near Sports/Recreation Area,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
b96c56a5b7ca685a8fe5906d04f3a7e57a2aff6350d61f64e774a37c8ee352da,2015-06,Surrey Police,Surrey Police,-0.255606,51.313405,On or near Sports/Recreation Area,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
d7669ca456bf0c4006b7ad664c21500b2cb018c416a58cc892bdc3cc3fc9a7a0,2015-06,Surrey Police,Surrey Police,-0.255608,51.313351,On or near Race Track,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
a22ed6cad47bcfb46d3174199ff522639d22463d196586e39bad5500b1c3a57c,2015-06,Surrey Police,Surrey Police,-0.255606,51.313405,On or near Sports/Recreation Area,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
5a15aa5962b3469cc0759fb11c0cde7b1e33916a0202efb3c0f28f85abe4baca,2015-06,Surrey Police,Surrey Police,-0.255606,51.313405,On or near Sports/Recreation Area,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
e4a027ff66eadbe55602cc0d0481486c1f96c97347b2f8b03a7f860942e19e14,2015-06,Surrey Police,Surrey Police,-0.255606,51.313405,On or near Sports/Recreation Area,E01030417,Epsom and Ewell 009D,Investigation complete; no suspect identified
0940074cf60f5e3ae59f4a6e6ba9a5c44ab7ba86a8a89c5e3ffa9d90c471de7b,2015-06,Surrey Police,Surrey Police,-0.269083,51.306446,On or near MILLERS COPSE,E01030418,Epsom and Ewell 009E,Investigation complete; no suspect identified
980b05531adb7ad796848750e193e101fe7698d520b92fe220d9b07105074167,2015-06,Surrey Police,Surrey Police,-0.278278,51.303435,On or near DOWNS ROAD,E01030418,Epsom and Ewell 009E,Investigation complete; no suspect identified
e76b96650608f326aa860a61328a6e9975bc83d2bcef9305e75c23edcf5629e0,2015-06,Surrey Police,Surrey Police,-0.265658,51.329947,On or near ASHLEY ROAD,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
