Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0f58ed7c87c382d997267ad52dc50f71cefb1febc12e2b833e88b8cca7b49d06,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136231,52.188657,On or near HILLS ROAD,E01017966,Cambridge 010B,Investigation complete; no suspect identified
a97a3bf20559641dfb81f589a0af3769de9f8f1d25f11eec86fbb69ea8bbd4ae,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.084429,52.214680,On or near Parking Area,E01017956,Cambridge 005B,Investigation complete; no suspect identified
b87be96a8ae0ed9be8c7807de83e924806347951969995e36ad6720928d2206a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
be963cee44b844dfd6928cc6d912b1d113165e2be281a25beff0b367fc5cfa86,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125954,52.200784,On or near REGENT STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
414c336095cc54948b2dd68e732bd011bb3b7919719c6e4fd548a840baecf691,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272342,52.597494,On or near ADDERLEY,E01015593,Peterborough 009A,Investigation complete; no suspect identified
e22877bcfc17ac6ac2c51bc48237b184e3f3bc320575409a4e64cf8f033af3d2,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.176264,52.332891,On or near PRIMROSE LANE,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
fc22a1b9ccb7cc1de0bcc0e82aabc54e7026678cd8a4b4a1b916599d4ed48f7a,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284019,52.236968,On or near B1048,E01018176,Huntingdonshire 020E,Investigation complete; no suspect identified
d19de7886ebcb7aab81a69cabc36e58c3bb9738f4d95cf85c985f513adfae738,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.048450,52.455162,On or near KING EDWARD ROAD,E01018110,Fenland 011E,Investigation complete; no suspect identified
e8d09898bceac88a324a787ce4983f476a3b341c17eea89e632159c7b4f56e67,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131209,52.194988,On or near HILLS ROAD,E01032795,Cambridge 012F,Investigation complete; no suspect identified
63c4376842155421eff1498a0528f3072a7c24325b82c0ded9b67e4a532f8ac6,2015-06,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.284019,52.236968,On or near B1048,E01018176,Huntingdonshire 020E,Investigation complete; no suspect identified
