Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe001896096ae32df7ef972c4440310faca904d10979d6e18ecf3129a447719d,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.636412,53.385569,On or near ROSSALL ROAD,E01012495,Warrington 016A,Suspect charged
500e0aee775825f22bcecc8f52ebed5ee5bb9c1cbc6bf7500b3c5d3dc3ed23a7,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.119163,53.350570,On or near Sports/Recreation Area,E01018655,Cheshire East 003A,Investigation complete; no suspect identified
23aa77f3cb6c24bea42cfdbc90077d35e74ffa05eaf40f563c716aa16aa69ee9,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.893345,53.189993,On or near WATERGATE STREET,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
02b34a2e20cd1247ae01ecf3d74774aa629019f0f037fe64c4a233afebb7d84f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.594427,53.405534,On or near WINWICK ROAD,E01012455,Warrington 013C,Investigation complete; no suspect identified
e4cf1fcedf2a97f08bc024be88dc91ddba1c550499b9b249e414ecd68281e9f2,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.724649,53.363232,On or near Shopping Area,E01012441,Halton 007D,Investigation complete; no suspect identified
26f0121b1e4bb7b86d46647788559e3318975b3ccaea8d7a5c4c1f88b9f7b7d1,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.715334,53.371423,On or near ST AMBROSE ROAD,E01012412,Halton 003C,Investigation complete; no suspect identified
2003edbf4d9b986b03873d07cdef402b776a51fcc8eb0448fd754baf1b39ac3f,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.235938,53.158440,On or near BOWNESS COURT,E01018410,Cheshire East 028D,Investigation complete; no suspect identified
c3fe546226182676b1a2fc9338e9d5fa63002875c651c5f9176ccd0ae4725b71,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.641420,53.398657,On or near SANTA ROSA BOULEVARD,E01012568,Warrington 009D,Investigation complete; no suspect identified
8ad36395d0e029e4afeb452a1a5557c65cea52588f4a5d1c8bf0c3145bff1c28,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.794737,53.210585,On or near MAIN STREET,E01018308,Cheshire West and Chester 022A,Investigation complete; no suspect identified
26520b2a02374c107b415b2d9527a6ac065042196b2bf84d7fa456ac83208f3e,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.473847,53.252087,On or near Petrol Station,E01018718,Cheshire West and Chester 017D,Investigation complete; no suspect identified
86b093c3f422eabec85a17163fc9a57e017f736a75ffa14c9ea38a312c548919,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.887222,53.188430,On or near SOUTER'S LANE,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
0ec67313249f99e77996ca92ab1c40fc3c049b75994058107ed9efaecf1745e3,2013-11,Cheshire Constabulary,Cheshire Constabulary,-2.499228,53.480063,On or near Petrol Station,E01012476,Warrington 001C,Investigation complete; no suspect identified
