Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
52cd4c44d97be5cea8a8f2376d9490984f0abf5e92e0268703c95db56fe05b57,2013-11,Dorset Police,Dorset Police,-1.806443,50.751398,On or near RIVER WAY,E01020366,Christchurch 002E,Investigation complete; no suspect identified
4873fbac31e022284455134f00de97c54295a965d2b2f5635bbe9b1f57e77ff6,2013-11,Dorset Police,Dorset Police,-2.428760,50.706273,On or near LORNTON WALK,E01020519,West Dorset 010B,Investigation complete; no suspect identified
8e99b4fe7cb9c64d7de696476cad3d4041f761df59b30a41eede833cfd6727f6,2013-11,Dorset Police,Dorset Police,-2.428516,50.707416,On or near CUTSOME CLOSE,E01020519,West Dorset 010B,Investigation complete; no suspect identified
da8e7fef716d3a841dc06320a809a067b146f49d7e3418c81305ece38f135322,2013-11,Dorset Police,Dorset Police,-2.425629,50.706150,On or near DUCHY CLOSE,E01020520,West Dorset 010C,Investigation complete; no suspect identified
f3fc3ed0960b990f4abfb31dd38c1bd5b493401ceea475470ff19581fe5ae3dc,2013-11,Dorset Police,Dorset Police,-2.763121,50.736955,On or near FULBROOKS CLOSE,E01020500,West Dorset 006C,Investigation complete; no suspect identified
6f97ad002e875624a94dbe5cd179d5f433a51735f77002960f1e3462b62c728a,2013-11,Dorset Police,Dorset Police,-1.959728,50.973665,On or near COBLEY CLOSE,E01020397,East Dorset 001D,Investigation complete; no suspect identified
5b5e9a691508a3090f81341987a9189b985b43eb593560e23623a34b949c8ad4,2013-11,Dorset Police,Dorset Police,-1.891309,50.800751,On or near Petrol Station,E01020392,East Dorset 008C,Investigation complete; no suspect identified
d0d3b2b01b9c75163395d29741e47d3a77e6484b5da1f70af512dd69ca6a3789,2013-11,Dorset Police,Dorset Police,-2.761837,50.740813,On or near ORCHARD CRESCENT,E01020499,West Dorset 006B,Investigation complete; no suspect identified
21c69ecda5d5931c4fb879271d3a06e7ff9d2b5143990630076d8c86c9d4a9c2,2013-11,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
57e5d2b477336bd21ebbf3a58c5f56a5361ffefebf0ea4c3d76e127278ac0197,2013-11,Dorset Police,Dorset Police,-2.762359,50.733678,On or near TANNERY ROAD,E01020503,West Dorset 008B,Investigation complete; no suspect identified
563f4e128e69df6dacd94b9be638bcdde84461b6ea205007b9e4a81089e8ae1f,2013-11,Dorset Police,Dorset Police,-1.805819,50.761810,On or near HESTAN CLOSE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
62ddd944c0fb42361a79caa28079a71b901729c83f5e6873240e4bcde447e1d2,2013-11,Dorset Police,Dorset Police,-1.966568,50.848322,On or near Park/Open Space,E01020398,East Dorset 005B,Investigation complete; no suspect identified
b399eef666da9bdb06c62f8d4d2ef4715b58488c48286155cad0539ab94b43b6,2013-11,Dorset Police,Dorset Police,-2.023527,50.734227,On or near ALLENS ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
a97dc0b4f10636f05b41640b7aa0a003a7c7162aff1caad7881e66bc5344e645,2013-11,Dorset Police,Dorset Police,-1.759307,50.735366,On or near PUREWELL CLOSE,E01020362,Christchurch 007D,Investigation complete; no suspect identified
