Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
12266d9ceed581748aa2817739d15c5f36692de568fea323bd8cefe281d67825,2013-12,Lincolnshire Police,Lincolnshire Police,-0.461664,53.301729,On or near MARKET RASEN ROAD,E01026372,West Lindsey 008A,Investigation complete; no suspect identified
3f1d6a9ad571e249d1f9182f6ffaad148ce1d14346e897dba638ccb3ad63759f,2013-12,Lincolnshire Police,Lincolnshire Police,-0.062576,52.922586,On or near AARON WAY,E01026020,Boston 007D,Investigation complete; no suspect identified
82ab8d4e8af34bf705a48a1988a14035edf4a6c22f32516e82735806d29686f6,2013-12,Lincolnshire Police,Lincolnshire Police,-0.337688,53.386799,On or near JOHN STREET,E01026390,West Lindsey 003B,Investigation complete; no suspect identified
3fe01ff4f4f2c7d1bea3c7f07f7463208872d289e88789a363a0dc68ec27cd3b,2013-12,Lincolnshire Police,Lincolnshire Police,-0.276160,53.266406,On or near HOOP LANE,E01026121,East Lindsey 007C,Investigation complete; no suspect identified
9f1eedd1444851234d87ca1cb89960fb55ec484ca056b1da998c5f69094802a1,2013-12,Lincolnshire Police,Lincolnshire Police,-0.660909,53.313652,On or near MEDWAY,E01026404,West Lindsey 007B,Investigation complete; no suspect identified
fcb000de1486d7191fcd3d7426577d60abf30fbb1e13a7335d8456588c172d7b,2013-12,Lincolnshire Police,Lincolnshire Police,-0.614971,52.919063,On or near KEATS AVENUE,E01026328,South Kesteven 003D,Investigation complete; no suspect identified
049618aa278f15701f8251579deb7bb16e2f90fe883c6dfc04690c7c2600a1db,2013-12,Lincolnshire Police,Lincolnshire Police,-0.200286,53.074074,On or near WITHAM DRIVE,E01026183,North Kesteven 007B,Investigation complete; no suspect identified
9e66e72c0daaa28266cbdb521a0c8bb6c3c6d0c8ba3d3e087568ff34df628083,2013-12,Lincolnshire Police,Lincolnshire Police,-0.200286,53.074074,On or near WITHAM DRIVE,E01026183,North Kesteven 007B,Investigation complete; no suspect identified
67fbfbf3ff2d20551172e99dcbb9b7455d29cdee7310e0da7a0ffcb61081cbc7,2013-12,Lincolnshire Police,Lincolnshire Police,-0.200286,53.074074,On or near WITHAM DRIVE,E01026183,North Kesteven 007B,Investigation complete; no suspect identified
09da8a17e8df8437b35eb88b7e5a547714abf80f7e6d1c4cb72dc7fea74424fb,2013-12,Lincolnshire Police,Lincolnshire Police,-0.530948,53.235289,On or near GREETWELLGATE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
c3781778b798e3fb28bb58dd3a1e634a6d5cd05afd224f6e60f24a8fe1dbdf71,2013-12,Lincolnshire Police,Lincolnshire Police,-0.026494,52.968510,On or near LONDON ROAD,E01026006,Boston 003A,Investigation complete; no suspect identified
ff2fa8e456d51c4db07bf3c1268c658729fd69e7bcfacbd7f079292627fafc0e,2013-12,Lincolnshire Police,Lincolnshire Police,-0.588523,53.200853,On or near Supermarket,E01026162,Lincoln 009E,Investigation complete; no suspect identified
15f886312584203d4c8390e1b47eed8bb9b6ac2471ee4cd69eafcc4519c263f0,2013-12,Lincolnshire Police,Lincolnshire Police,-0.590384,53.200246,On or near PIONEER WAY,E01032991,North Kesteven 014E,Investigation complete; no suspect identified
0f76c3e4c44b271160daa34686ca3ffc9a7ad06af9558f8f119203b99fde2990,2013-12,Lincolnshire Police,Lincolnshire Police,-0.186019,53.108425,On or near Sports/Recreation Area,E01026053,East Lindsey 016C,Investigation complete; no suspect identified
9477802444666a99b115b4ca44c14e3ba704b2c87d041cccebff57d2dc7a492c,2013-12,Lincolnshire Police,Lincolnshire Police,-0.033437,52.974020,On or near TENNYSON CLOSE,E01026030,Boston 002C,Investigation complete; no suspect identified
4401ba14aacebaaa4a9234711f04ce38139da9666a83cba818fbf5888da542bf,2013-12,Lincolnshire Police,Lincolnshire Police,-0.541377,53.222939,On or near HERMIT STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
4eef0a39099ffb4734f9b64e3132a9912e1a8fe036687f1d477e654b69ff5507,2013-12,Lincolnshire Police,Lincolnshire Police,-0.005706,53.380123,On or near BELVOIR WAY,E01026077,East Lindsey 003A,Investigation complete; no suspect identified
