Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
595a2009028e250879768f5d14619e2a60e70c6909010c34adc8cde9b0c2db53,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.280000,52.625848,On or near SOMERLEYTON STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
c20f21e2e965c7b35eac685ad692bab3b9275b31af6e662a412c3b772ffb0ee5,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.304757,52.628217,On or near PRINCE OF WALES ROAD,E01033439,Norwich 014B,Investigation complete; no suspect identified
46403261f0a13c0e693c9cd162f60b7f7680aa78c8ab85fb94ca46395047f861,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.566969,52.807405,On or near CROWDEN ROAD,E01026786,North Norfolk 013D,Investigation complete; no suspect identified
7c8c4959cb8cb7a58e8ed645070a637d9af51c5947d41c3dc6614661b5234524,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.738058,52.413918,On or near Pedestrian Subway,E01026474,Breckland 017A,Investigation complete; no suspect identified
4c999f345ca7840cbf5f72139332ff359fe0140a18af566b3674368af487c0d2,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.399687,52.670394,On or near MILL ROAD,E01026722,King's Lynn and West Norfolk 015C,Investigation complete; no suspect identified
9b9929ca90bf7fad608e15ec3b21865060a9c7de0e1ec02a51f1cef734dcd4b2,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.303216,52.628943,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
6e27272dd1fc5b337c89940088eb3825d3b335249a81101c6ed7f32a238ed83c,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.371767,52.606593,On or near MAPLE ROAD,E01026686,King's Lynn and West Norfolk 017C,Investigation complete; no suspect identified
282faa0f520794151dff0f118c4e5264b5f44ac473d9da8c9c1c4e83eb1aae98,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.861092,52.552982,On or near Parking Area,E01033040,Breckland 010F,Investigation complete; no suspect identified
d92c4774b4ee756eb8e72d450ec80e8ca49b0fad207675e006be9fa077cb6757,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.394355,52.751085,On or near ST MARGARET'S LANE,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
7f560a6d5a437ddab32ea2b12dfd26cb3092d53397c8d11e942c548e7f6c2d84,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
1ec707959e3da18f0787a9c25f15f4f70660b334fe1564979f831200d1208e6b,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.396385,52.740020,On or near SADDLEBOW ROAD,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
1321660e410cb992c964273569d7dfb75de87a9096f17d11370378be6ccce0dd,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.734309,52.603379,On or near ST JOHN'S TERRACE,E01026624,Great Yarmouth 006C,Investigation complete; no suspect identified
82b50000ffad97dad457a2a7a0cef88799390332b0103488d35533e80f2b5444,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.419745,52.692888,On or near LYNN ROAD,E01026723,King's Lynn and West Norfolk 014D,Investigation complete; no suspect identified
d8216088c9d02faae9691c20b89d6ce493944374059ddb1bab49da10c6963885,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.713586,52.604301,On or near VINCENT CLOSE,E01026635,Great Yarmouth 007D,Investigation complete; no suspect identified
4690bcc379e0b1240faf0f2bc69b86fe9dbe9e72643019a90171c46de6c8092f,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.276362,52.645186,On or near A1024,E01026828,Norwich 002A,Investigation complete; no suspect identified
abfd8777de334a2f85b658e0f275cf6883f15cf18cf94847c54541f30e387674,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.280553,52.689678,On or near NORWICH ROAD,E01026549,Broadland 005A,Investigation complete; no suspect identified
7c0f023238b1bec1a46ca1a1fbe96fc875e703df6335e6dba14c89a8b855b2e5,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.409857,52.750591,On or near TENNYSON ROAD,E01026667,King's Lynn and West Norfolk 009B,Investigation complete; no suspect identified
0fce3f58ee96beabf2e915f0f7c7565831ef1a03840d56c6cf68096c6f710300,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.397047,52.752344,On or near Parking Area,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
2984ee3e09403b526d933cacf330e3baeaf9b3a6bb202312e04206d44c2d611c,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.298836,52.629857,On or near UPPER KING STREET,E01033438,Norwich 014A,Investigation complete; no suspect identified
30ac34ee576f740cafec553fca0fbfccd5e76233bea5167efaab837b195ae320,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.807940,52.571278,On or near RINGMERE ROAD,E01026489,Breckland 009D,Investigation complete; no suspect identified
37be0f4e150d1c6fd7214a721a7b2b654855776118a05ef1cb30cb4ad7d462c2,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.854134,52.567610,On or near SUNDERLAND CLOSE,E01033040,Breckland 010F,Investigation complete; no suspect identified
4d7d76e3612ad88871c35a7e5cd3757108edda1584d578488b9e046e6dd1dae2,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.339683,52.762888,On or near ORMESBY ROAD,E01026514,Broadland 003A,Investigation complete; no suspect identified
414fe4a48462e9c218751cecbc698847d791b563be5dd7d66949f4fe4c1f54bf,2013-12,Norfolk Constabulary,Norfolk Constabulary,1.721167,52.579426,On or near Sports/Recreation Area,E01026632,Great Yarmouth 009E,Investigation complete; no suspect identified
068bd959cffb6cc5b07a0ae17c9b8b6b7efde79892b90ce728c03340964fe661,2013-12,Norfolk Constabulary,Norfolk Constabulary,0.416383,52.757652,On or near Petrol Station,E01026666,King's Lynn and West Norfolk 009A,Investigation complete; no suspect identified
