Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b44491d929608d7b49547b028a8889de9f4a638a64fe6659b444b90f2ad50a35,2013-12,Warwickshire Police,Warwickshire Police,-1.531903,52.284211,On or near HIGH STREET,E01031336,Warwick 010F,Investigation complete; no suspect identified
0e2f15bc6192cd4c6d7755a8720c3ee94c6a976d03e348a07b0a186a6fd66fec,2013-12,Warwickshire Police,Warwickshire Police,-1.532561,52.291370,On or near KENILWORTH STREET,E01033253,Warwick 007H,Investigation complete; no suspect identified
45fea22b3f0e7788de945eafbbe5ffe7c45de9d9d9f69b84db21f54fb8aefacb,2013-12,Warwickshire Police,Warwickshire Police,-1.595478,52.290874,On or near SIR THOMAS WHITE CLOSE,E01031322,Warwick 011B,Investigation complete; no suspect identified
fa01d276516147ab97932fa89cf4b1a2735cdd4c91d4eaf59fcec0f50ce331c4,2013-12,Warwickshire Police,Warwickshire Police,-1.532899,52.281545,On or near RANELAGH TERRACE,E01031266,Warwick 013F,Investigation complete; no suspect identified
ecfa586f39d70044614c8ce7db7ca303fa402a5bf92981105a60ce5cce1ab6a7,2013-12,Warwickshire Police,Warwickshire Police,-1.718842,52.193030,On or near WILLOWS DRIVE NORTH,E01031232,Stratford-on-Avon 011A,Investigation complete; no suspect identified
24acde869c7bf286fd6216814155030ba9cefce0e38a8acadcb9df2961b242b6,2013-12,Warwickshire Police,Warwickshire Police,-1.535529,52.276700,On or near SAPPHIRE DRIVE,E01031262,Warwick 013B,Investigation complete; no suspect identified
a7840d4d06ca3af4a019b9bbce9c32ffd361e517a727ff330fedc1e56d31455d,2013-12,Warwickshire Police,Warwickshire Police,-1.534293,52.282746,On or near GAS STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
9e026d687e7791b1fa65cb25556b8dc30e698bcb14a2a6208bb166e00519064e,2013-12,Warwickshire Police,Warwickshire Police,-1.536712,52.292609,On or near Supermarket,E01033253,Warwick 007H,Investigation complete; no suspect identified
ef4f8a92d203c849b0455a1ca6fa1bb01212fd295f5eb2a8fcd8eb12bf568013,2013-12,Warwickshire Police,Warwickshire Police,-1.712418,52.193185,On or near Nightclub,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
d81e461e2473caad0296611e9b0b3f7e9435b71d08f5bcac16c971faa73dcba3,2013-12,Warwickshire Police,Warwickshire Police,-1.593457,52.293897,On or near HARMAR CLOSE,E01031312,Warwick 008D,Investigation complete; no suspect identified
80bf9fab9a9aecd21439fff4dd2829937e04ce09e0d5b850402fb7350c0f4a2c,2013-12,Warwickshire Police,Warwickshire Police,-1.433076,52.213653,On or near WILCOX CLOSE,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
7465955af737dd1c6969367f6c21d36f376003e7a222b7a2f7df6362bef682a9,2013-12,Warwickshire Police,Warwickshire Police,-1.592306,52.277081,On or near STUART CLOSE,E01031317,Warwick 012C,Investigation complete; no suspect identified
7c7fd464fdd5743108439ed417212f3e6669bc6e142afc20ebdd2c107b562389,2013-12,Warwickshire Police,Warwickshire Police,-1.546214,52.292457,On or near HEATH TERRACE,E01031294,Warwick 009E,Investigation complete; no suspect identified
765402615d3115d374748b138149f6eddfce2645119da328f29bb09dc20bb3cc,2013-12,Warwickshire Police,Warwickshire Police,-1.573344,52.285806,On or near BASANT CLOSE,E01031319,Warwick 012E,Investigation complete; no suspect identified
ac5ce05b5fd542366e5913fac719bbd41fc41e5235a206adecd144ac51da31ab,2013-12,Warwickshire Police,Warwickshire Police,-1.593808,52.295579,On or near CHANDERS ROAD,E01031312,Warwick 008D,Investigation complete; no suspect identified
9c41fd45ab2f7d2f50ac394c247ed0a781d82a9d7ba046dd88ad35d21db4bf6e,2013-12,Warwickshire Police,Warwickshire Police,-1.535433,52.277491,On or near CASHMORE AVENUE,E01031261,Warwick 013A,Investigation complete; no suspect identified
